Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,TCGA_DESC,UNCLASSIFIED,45690,18.87743508170306
gdsc_metadata_only,TCGA_DESC,LUAD,15653,6.467246472617597
gdsc_metadata_only,TCGA_DESC,SCLC,13570,5.606627140702791
gdsc_metadata_only,TCGA_DESC,BRCA,13106,5.414919329848989
gdsc_metadata_only,TCGA_DESC,SKCM,12637,5.221145702067883
gdsc_metadata_only,TCGA_DESC,COREAD,12538,5.180242526907265
gdsc_metadata_only,TCGA_DESC,HNSC,9358,3.8663829611419835
gdsc_metadata_only,TCGA_DESC,ESCA,9126,3.770529055715083
gdsc_metadata_only,TCGA_DESC,GBM,8384,3.4639618237031837
gdsc_metadata_only,TCGA_DESC,OV,8166,3.3738922056727336
gdsc_metadata_only,TCGA_DESC,DLBC,7978,3.2962174892061067
gdsc_metadata_only,TCGA_DESC,PAAD,7513,3.1040965149668436
gdsc_metadata_only,TCGA_DESC,NB,7469,3.085917326006569
gdsc_metadata_only,TCGA_DESC,KIRC,7462,3.0830251823083437
gdsc_metadata_only,TCGA_DESC,ALL,6795,2.807445204206003
gdsc_metadata_only,TCGA_DESC,LAML,6209,2.565331460325986
gdsc_metadata_only,TCGA_DESC,STAD,6060,2.50377011589233
gdsc_metadata_only,TCGA_DESC,MESO,5561,2.2976015865474
gdsc_metadata_only,TCGA_DESC,BLCA,4724,1.951783832916727
gdsc_metadata_only,TCGA_DESC,MM,4598,1.8997252463486687
gdsc_metadata_only,TCGA_DESC,LIHC,4164,1.72041233705869
gdsc_metadata_only,TCGA_DESC,THCA,4037,1.6679405871051707
gdsc_metadata_only,TCGA_DESC,LUSC,3863,1.596050158034995
gdsc_metadata_only,TCGA_DESC,CESC,3811,1.5745656619910342
gdsc_metadata_only,TCGA_DESC,LGG,3617,1.494411965211643
gdsc_metadata_only,TCGA_DESC,LCML,2611,1.078769599438098
gdsc_metadata_only,TCGA_DESC,UCEC,2512,1.0378664242774804
gdsc_metadata_only,TCGA_DESC,PRAD,1676,0.692461834032268
gdsc_metadata_only,TCGA_DESC,MB,1072,0.44291114921395663
gdsc_metadata_only,TCGA_DESC,Missing,1067,0.44084533228665274
gdsc_metadata_only,TCGA_DESC,CLL,550,0.22723986200342927
gdsc_metadata_only,TCGA_DESC,ACC,279,0.11527258454355775
gdsc_metadata_only,TCGA_DESC,OTHER,179,0.0739562459974797
gdsc_metadata_only,GDSC Tissue descriptor 1,lung_NSCLC,26977,11.145908649575475
gdsc_metadata_only,GDSC Tissue descriptor 1,urogenital_system,25707,10.621191150040284
gdsc_metadata_only,GDSC Tissue descriptor 1,leukemia,20484,8.463238787778627
gdsc_metadata_only,GDSC Tissue descriptor 1,aero_dig_tract,18583,7.677815192017684
gdsc_metadata_only,GDSC Tissue descriptor 1,lymphoma,16747,6.91924721631169
gdsc_metadata_only,GDSC Tissue descriptor 1,lung_SCLC,13750,5.680996550085731
gdsc_metadata_only,GDSC Tissue descriptor 1,breast,13388,5.531431404548929
gdsc_metadata_only,GDSC Tissue descriptor 1,nervous_system,12894,5.327328692131304
gdsc_metadata_only,GDSC Tissue descriptor 1,skin,12636,5.220732538682422
gdsc_metadata_only,GDSC Tissue descriptor 1,large_intestine,12438,5.138926188361188
gdsc_metadata_only,GDSC Tissue descriptor 1,digestive_system,10915,4.509678352304419
gdsc_metadata_only,GDSC Tissue descriptor 1,bone,9933,4.103951907781933
gdsc_metadata_only,GDSC Tissue descriptor 1,Missing,9366,3.8696882682256697
gdsc_metadata_only,GDSC Tissue descriptor 1,kidney,8020,3.3135703513954597
gdsc_metadata_only,GDSC Tissue descriptor 1,pancreas,7617,3.1470655070547653
gdsc_metadata_only,GDSC Tissue descriptor 1,neuroblastoma,7469,3.085917326006569
gdsc_metadata_only,GDSC Tissue descriptor 1,soft_tissue,5008,2.0691222343875886
gdsc_metadata_only,GDSC Tissue descriptor 1,myeloma,4598,1.8997252463486687
gdsc_metadata_only,GDSC Tissue descriptor 1,thyroid,3759,1.5530811659470738
gdsc_metadata_only,GDSC Tissue descriptor 1,lung,1746,0.7213832710145227
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_NSCLC_adenocarcinoma,16112,6.656888466544094
gdsc_metadata_only,GDSC Tissue descriptor 2,lung_small_cell_carcinoma,13750,5.680996550085731
gdsc_metadata_only,GDSC Tissue descriptor 2,breast,13388,5.531431404548929
gdsc_metadata_only,GDSC Tissue descriptor 2,large_intestine,12438,5.138926188361188
gdsc_metadata_only,GDSC Tissue descriptor 2,melanoma,12097,4.998037473919061
gdsc_metadata_only,GDSC Tissue descriptor 2,glioma,11822,4.884417542917347
