Dataset Mode,Feature,Type,Unique Values,Missing Count,Most Common Value,Most Common Count,Most Common Percent,Rarest Category Count,Top Values,Value Counts CSV
gdsc_metadata_only,TCGA_DESC,categorical,32,1067,UNCLASSIFIED,45690,18.87743508170306,179,UNCLASSIFIED: 45690 (18.9%); LUAD: 15653 (6.5%); SCLC: 13570 (5.6%); BRCA: 13106 (5.4%); SKCM: 12637 (5.2%); COREAD: 12538 (5.2%); HNSC: 9358 (3.9%); ESCA: 9126 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__tcga_desc.csv
gdsc_metadata_only,GDSC Tissue descriptor 1,categorical,19,9366,lung_NSCLC,26977,11.145908649575475,1746,lung_NSCLC: 26977 (11.1%); urogenital_system: 25707 (10.6%); leukemia: 20484 (8.5%); aero_dig_tract: 18583 (7.7%); lymphoma: 16747 (6.9%); lung_SCLC: 13750 (5.7%); breast: 13388 (5.5%); nervous_system: 12894 (5.3%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__gdsc_tissue_descriptor_1.csv
gdsc_metadata_only,GDSC Tissue descriptor 2,categorical,54,9366,lung_NSCLC_adenocarcinoma,16112,6.656888466544094,178,lung_NSCLC_adenocarcinoma: 16112 (6.7%); lung_small_cell_carcinoma: 13750 (5.7%); breast: 13388 (5.5%); large_intestine: 12438 (5.1%); melanoma: 12097 (5.0%); glioma: 11822 (4.9%); ovary: 10434 (4.3%); head and neck: 9457 (3.9%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__gdsc_tissue_descriptor_2.csv
gdsc_metadata_only,Cancer Type (matching TCGA label),categorical,31,51446,Missing,51446,21.255603528415314,279,Missing: 51446 (21.3%); LUAD: 15483 (6.4%); SCLC: 13750 (5.7%); BRCA: 13106 (5.4%); COAD/READ: 12438 (5.1%); SKCM: 12097 (5.0%); HNSC: 9178 (3.8%); ESCA: 9126 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__cancer_type_matching_tcga_label.csv
gdsc_metadata_only,Microsatellite instability Status (MSI),categorical,2,12353,MSS/MSI-L,214104,88.45993348069494,12353,MSS/MSI-L: 214104 (88.5%); MSI-H: 15578 (6.4%); Missing: 12353 (5.1%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__microsatellite_instability_status_msi.csv
gdsc_metadata_only,Screen Medium,categorical,2,9366,R,129756,53.61042824384903,9366,R: 129756 (53.6%); D/F12: 102913 (42.5%); Missing: 9366 (3.9%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__screen_medium.csv
gdsc_metadata_only,Growth Properties,categorical,3,9366,Adherent,168430,69.58910901315926,7425,Adherent: 168430 (69.6%); Suspension: 56814 (23.5%); Missing: 9366 (3.9%); Semi-Adherent: 7425 (3.1%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__growth_properties.csv
gdsc_metadata_only,CNA,categorical,2,9366,Y,231651,95.70971140537526,1018,Y: 231651 (95.7%); Missing: 9366 (3.9%); N: 1018 (0.4%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__cna.csv
gdsc_metadata_only,Gene Expression,categorical,2,9366,Y,227885,94.15373809572995,4784,Y: 227885 (94.2%); Missing: 9366 (3.9%); N: 4784 (2.0%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__gene_expression.csv
gdsc_metadata_only,Methylation,categorical,2,9366,Y,225081,92.99522796289793,7588,Y: 225081 (93.0%); Missing: 9366 (3.9%); N: 7588 (3.1%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__methylation.csv
gdsc_metadata_only,TARGET,categorical,185,27155,Missing,27155,11.219451732187494,225,"Missing: 27155 (11.2%); PARP1, PARP2: 4714 (1.9%); MEK1, MEK2: 4547 (1.9%); TOP1: 4324 (1.8%); EGFR: 3836 (1.6%); TNKS1, TNKS2: 3699 (1.5%); AKT1, AKT2, AKT3: 3308 (1.4%); DOT1L: 2873 (1.2%)",docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__target.csv
