Value,Count,Percent
UNCLASSIFIED,45690,18.87743508170306
LUAD,15653,6.467246472617597
SCLC,13570,5.606627140702791
BRCA,13106,5.414919329848989
SKCM,12637,5.221145702067883
COREAD,12538,5.180242526907265
HNSC,9358,3.8663829611419835
ESCA,9126,3.770529055715083
GBM,8384,3.4639618237031837
OV,8166,3.3738922056727336
DLBC,7978,3.2962174892061067
PAAD,7513,3.1040965149668436
NB,7469,3.085917326006569
KIRC,7462,3.0830251823083437
ALL,6795,2.807445204206003
LAML,6209,2.565331460325986
STAD,6060,2.50377011589233
MESO,5561,2.2976015865474
BLCA,4724,1.951783832916727
MM,4598,1.8997252463486687
LIHC,4164,1.72041233705869
THCA,4037,1.6679405871051707
LUSC,3863,1.596050158034995
CESC,3811,1.5745656619910342
LGG,3617,1.494411965211643
LCML,2611,1.078769599438098
UCEC,2512,1.0378664242774804
PRAD,1676,0.692461834032268
MB,1072,0.44291114921395663
Missing,1067,0.44084533228665274
CLL,550,0.22723986200342927
ACC,279,0.11527258454355775
OTHER,179,0.0739562459974797
