Value,Count,Percent
Unknown,50155,21.18112597184859
LUAD,15303,6.462661165331453
SCLC,13212,5.579603954542192
BRCA,12750,5.3844951877393985
COAD/READ,12257,5.176294707146808
SKCM,11917,5.032708168807091
HNSC,9178,3.8759919084762515
ESCA,9126,3.8540316143772353
GBM,8204,3.4646587074677666
OV,7802,3.294888741548454
DLBC,7621,3.218450025549958
KIRC,7282,3.0752858005582984
PAAD,7083,2.991245444294758
NB,6931,2.927053815389943
ALL,6436,2.718008708101237
LAML,6029,2.5461271754416344
STAD,4889,2.064689958655523
MM,4598,1.9417967743706477
BLCA,4266,1.801588742815394
LIHC,3909,1.650822877558691
LUSC,3863,1.6313964635480234
CESC,3631,1.5334197667985692
THCA,3579,1.5114594726995536
LGG,3438,1.4519132906233767
UNABLE TO CLASSIFY,3064,1.2939680984496877
LCML,2611,1.1026601517794172
UCEC,2512,1.060851130321676
PRAD,1676,0.7077971713451947
MESO,1568,0.6621873297549316
MB,1072,0.4527199091181675
CLL,550,0.23227234143189562
ACC,279,0.11782542410817978
