Value,Count,Percent
lung_NSCLC_adenocarcinoma,15932,6.7282962612599295
lung_small_cell_carcinoma,13212,5.579603954542192
breast,13032,5.503587551891752
large_intestine,12257,5.176294707146808
melanoma,11917,5.032708168807091
glioma,11642,4.916571998091144
ovary,10070,4.25269541494398
head and neck,9457,3.993817332584431
oesophagus,9126,3.8540316143772353
Unknown,8906,3.7611226778044773
B_cell_lymphoma,7621,3.218450025549958
pancreas,7617,3.2167607721577256
kidney,7561,3.1931112246664783
neuroblastoma,6931,2.927053815389943
stomach,5818,2.457019059001398
acute_myeloid_leukaemia,5752,2.42914637802957
ewings_sarcoma,5322,2.2475516383646337
Bladder,4266,1.801588742815394
liver,3909,1.650822877558691
cervix,3899,1.6465997440781108
lung_NSCLC_squamous_cell_carcinoma,3863,1.6313964635480234
lung_NSCLC_large cell,3630,1.532997453450511
Burkitt_lymphoma,3590,1.5161049195281915
thyroid,3579,1.5114594726995536
myeloma,3497,1.4768297781587982
B_cell_leukemia,3196,1.3497134603933427
endometrium,3070,1.2965019785380356
lymphoblastic_leukemia,3064,1.2939680984496877
chronic_myeloid_leukaemia,2611,1.1026601517794172
osteosarcoma,2529,1.0680304572386619
lymphoid_neoplasm other,2355,0.9945479346765713
soft_tissue_other,2303,0.9725876405775556
Hodgkin_lymphoma,2231,0.9421810795173803
lung_NSCLC_not specified,2203,0.9303563057717565
rhabdomyosarcoma,2146,0.9062844449324511
prostate,2134,0.901216684755755
lymphoblastic_T_cell_leukaemia,2092,0.8834795241373193
mesothelioma,1568,0.6621873297549316
haematopoietic_neoplasm other,1357,0.5730792133146952
chondrosarcoma,1197,0.5055090776254165
T_cell_leukemia,1115,0.47087938308466115
medulloblastoma,1072,0.4527199091181675
hairy_cell_leukaemia,1016,0.42907036162691997
biliary_tract,1008,0.42569185484245603
lung_NSCLC_carcinoid,991,0.41851252792547017
leukemia,744,0.3142011309551461
urogenital_system_other,718,0.3032209839056383
anaplastic_large_cell_lymphoma,692,0.2922408368561305
fibrosarcoma,559,0.2360731615644176
uterus,557,0.23522853486830161
skin_other,539,0.22762689460325772
testis,449,0.18961869327803843
bone_other,412,0.17399309939989274
adrenal_gland,279,0.11782542410817978
Lung_other,178,0.07517177595432259
