Value,Count,Percent
Unknown,27068,11.43117770523373
"PARP1, PARP2",4575,1.9320835673653138
"MEK1, MEK2",4433,1.8721150719410786
TOP1,4236,1.7889193423736542
EGFR,3725,1.5731172215160203
"TNKS1, TNKS2",3589,1.5156826061801334
"AKT1, AKT2, AKT3",3247,1.3712514411443004
DOT1L,2789,1.17783192773374
"IGF1R, IR",2788,1.1774096143856818
BRAF,2775,1.171919540860928
ATR,2721,1.1491146200657965
PORCN,2669,1.127154325966781
"ERK1, ERK2",2603,1.0992816449949534
DNA alkylating agent,2592,1.0946361981663155
Microtubule stabiliser,2537,1.071408964023126
BRD4,2499,1.0553610567969223
Antimetabolite,2309,0.9751215206659037
HSP90,2255,0.9523165998707721
MCL1,2191,0.9252885455950606
Mutant RAS,2184,0.9223323521586547
"EGFR, ERBB2",1876,0.7922598409567931
"CDK4, CDK6",1871,0.7901482742165032
"FGFR1, FGFR2, FGFR3",1870,0.7897259608684452
IGF1R,1869,0.7893036475203872
PI3K (beta sparing),1860,0.7855028273878653
MDM2,1860,0.7855028273878653
PI3Kalpha,1853,0.7825466339514593
SYK,1734,0.7322913455325583
"BRD2, BRD3, BRD4",1732,0.7314467188364423
"MTORC1, MTORC2",1673,0.7065302313010207
Microtubule destabiliser,1666,0.7035740378646148
ESR,1650,0.6968170242956869
RNA polymerase,1630,0.6883707573345271
PPM1D,1625,0.6862591905942371
"BAZ2A, BAZ2B",1622,0.6849922505500632
EZH2,1604,0.6773906102850192
"JAK1, JAK2",1586,0.6697889700199754
Metabolism,1462,0.6174221148607844
anti-oxidant proteins,1456,0.6148882347724365
dsDNA break induction,1443,0.6093981612476825
"ERK1,ERK2",1430,0.6039080877229286
"BRPF1, BRPF2, BRPF3",1430,0.6039080877229286
CDK9,1428,0.6030634610268126
"GSK3A, GSK3B",1127,0.475947143261357
"Proteasome, CAPN1",941,0.3973968605225705
Broad spectrum kinase inhibitor,940,0.3969745471745126
"AKT1, AKT2",940,0.3969745471745126
Antimetabolite (DNA & RNA),940,0.3969745471745126
PI3K (class 1),939,0.39655223382645455
"BCL2, BCL-XL, BCL-W",939,0.39655223382645455
"WEE1, PLK1",939,0.39655223382645455
"EGFR, ERBB2, ERBB3",938,0.39612992047839657
"MET, ALK, ROS1",938,0.39612992047839657
TP53,938,0.39612992047839657
BCL-XL,934,0.3944406670861646
"ABL, SRC, Ephrins, PDGFR, KIT",934,0.3944406670861646
"CHEK1, CHEK2",933,0.39401835373810656
"PDGFR, KIT, VEGFR",933,0.39401835373810656
Pyrimidine antimetabolite,933,0.39401835373810656
"HDAC inhibitor Class I, IIa, IIb, IV",931,0.3931737270419906
