Value,Count,Percent
Unclassified,24899,10.515180053295945
PI3K/MTOR signaling,22148,9.353396032788408
Other,21033,8.882516649703748
DNA replication,17323,7.315734128408597
"Other, kinases",16879,7.128227001870849
ERK MAPK signaling,13034,5.5044321785878685
Genome integrity,11861,5.009058621315845
Cell cycle,11335,4.78692180023734
Apoptosis regulation,10594,4.473987609326368
Chromatin histone methylation,10450,4.4131744872060175
RTK signaling,10264,4.3346242044672305
Chromatin other,8378,3.538141230029858
Chromatin histone acetylation,8016,3.3852637980328644
WNT signaling,7385,3.1187840754082714
Protein stability and degradation,6841,2.889045614064724
EGFR signaling,6539,2.76150698295121
Mitosis,6281,2.652550139152248
IGF1R signaling,5371,2.268244992419475
Metabolism,4685,1.9785380356516928
Hormone-related,3708,1.5659378945990348
p53 pathway,3665,1.547778420632541
Cytoskeleton,3325,1.4041918822928237
JNK and p38 signaling,1850,0.7812796939072852
ABL signaling,927,0.3914844736497587
