Value,Count,Percent
Missing,51446,21.255603528415314
LUAD,15483,6.397008697089264
SCLC,13750,5.680996550085731
BRCA,13106,5.414919329848989
COAD/READ,12438,5.138926188361188
SKCM,12097,4.998037473919061
HNSC,9178,3.7920135517590428
ESCA,9126,3.770529055715083
GBM,8384,3.4639618237031837
OV,8166,3.3738922056727336
DLBC,7978,3.2962174892061067
NB,7469,3.085917326006569
KIRC,7462,3.0830251823083437
PAAD,7083,2.926436259218708
ALL,6795,2.807445204206003
LAML,6029,2.4909620509430455
STAD,5069,2.094325200900696
MM,4598,1.8997252463486687
BLCA,4266,1.7625550023756895
LIHC,3909,1.6150556737661907
LUSC,3863,1.596050158034995
CESC,3811,1.5745656619910342
THCA,3759,1.5530811659470738
LGG,3438,1.4204557192141631
UNABLE TO CLASSIFY,3064,1.2659326130518314
LCML,2611,1.078769599438098
UCEC,2512,1.0378664242774804
PRAD,1676,0.692461834032268
MESO,1568,0.6478401884025038
MB,1072,0.44291114921395663
CLL,550,0.22723986200342927
ACC,279,0.11527258454355775
