Value,Count,Percent
lung_NSCLC_adenocarcinoma,16112,6.656888466544094
lung_small_cell_carcinoma,13750,5.680996550085731
breast,13388,5.531431404548929
large_intestine,12438,5.138926188361188
melanoma,12097,4.998037473919061
glioma,11822,4.884417542917347
ovary,10434,4.310946763897784
head and neck,9457,3.9072861363026004
Missing,9366,3.8696882682256697
oesophagus,9126,3.770529055715083
B_cell_lymphoma,7978,3.2962174892061067
kidney,7741,3.1982977668519013
pancreas,7617,3.1470655070547653
neuroblastoma,7469,3.085917326006569
stomach,5998,2.478153985993761
acute_myeloid_leukaemia,5752,2.3765157931704093
ewings_sarcoma,5616,2.320325572747743
Bladder,4266,1.7625550023756895
cervix,4079,1.6852934492945237
liver,3909,1.6150556737661907
lung_NSCLC_squamous_cell_carcinoma,3863,1.596050158034995
lung_NSCLC_large cell,3808,1.573326171834652
thyroid,3759,1.5530811659470738
Burkitt_lymphoma,3590,1.4832565538042017
myeloma,3497,1.4448323589563492
B_cell_leukemia,3196,1.3204701799326544
endometrium,3070,1.268411593364596
lymphoblastic_leukemia,3064,1.2659326130518314
chronic_myeloid_leukaemia,2611,1.078769599438098
lymphoid_neoplasm other,2535,1.0473691821430784
osteosarcoma,2529,1.044890201830314
soft_tissue_other,2303,0.9515152767161774
lymphoblastic_T_cell_leukaemia,2272,0.9387072117668932
Hodgkin_lymphoma,2231,0.9217675129630012
lung_NSCLC_not specified,2203,0.9101989381700993
rhabdomyosarcoma,2146,0.8866486251988348
prostate,2134,0.8816906645733055
mesothelioma,1568,0.6478401884025038
haematopoietic_neoplasm other,1357,0.5606627140702791
chondrosarcoma,1197,0.4945565723965542
T_cell_leukemia,1115,0.46067717478877024
medulloblastoma,1072,0.44291114921395663
hairy_cell_leukaemia,1016,0.4197739996281529
biliary_tract,1008,0.4164686925444667
lung_NSCLC_carcinoid,991,0.40944491499163344
leukemia,923,0.38134980478030034
urogenital_system_other,718,0.29665131076084034
anaplastic_large_cell_lymphoma,692,0.2859090627388601
bone_other,591,0.24417956080732126
fibrosarcoma,559,0.23095833247257627
uterus,557,0.23013200570165473
skin_other,539,0.22269506476336065
testis,449,0.18551036007189045
adrenal_gland,279,0.11527258454355775
Lung_other,178,0.07354308261201892
