Value,Count,Percent
Missing,27155,11.219451732187494
"PARP1, PARP2",4714,1.9476521990621194
"MEK1, MEK2",4547,1.878653913690169
TOP1,4324,1.7865184787324146
EGFR,3836,1.5848947466275538
"TNKS1, TNKS2",3699,1.528291362819427
"AKT1, AKT2, AKT3",3308,1.3667444791042618
DOT1L,2873,1.1870184064288223
"IGF1R, IR",2872,1.1866052430433613
BRAF,2859,1.1812341190323714
ATR,2803,1.1580969694465675
PORCN,2751,1.136612473402607
"ERK1, ERK2",2662,1.0998409320965976
DNA alkylating agent,2649,1.0944698080856075
Microtubule stabiliser,2595,1.0721589852707254
BRD4,2556,1.056045613237755
HSP90,2363,0.9763050798438243
Antimetabolite,2341,0.967215485363687
MCL1,2199,0.9085462846282563
Mutant RAS,2193,0.9060673043154915
"EGFR, ERBB2",1932,0.7982316607102278
"CDK4, CDK6",1927,0.796165843782924
"FGFR1, FGFR2, FGFR3",1926,0.7957526803974632
IGF1R,1924,0.7949263536265415
PI3K (beta sparing),1916,0.7916210465428554
MDM2,1916,0.7916210465428554
PI3Kalpha,1909,0.7887289028446299
SYK,1788,0.7387361332038754
"BRD2, BRD3, BRD4",1786,0.7379098064329539
"MTORC1, MTORC2",1705,0.7044435722106307
Microtubule destabiliser,1697,0.7011382651269444
ESR,1680,0.6941144875741112
RNA polymerase,1659,0.6854380564794348
PPM1D,1655,0.6837854029375917
"BAZ2A, BAZ2B",1650,0.6817195860102878
EZH2,1634,0.6751089718429153
"JAK1, JAK2",1615,0.6672588675191604
Metabolism,1470,0.6073501766273472
anti-oxidant proteins,1464,0.6048711963145826
dsDNA break induction,1448,0.5982605821472101
"ERK1,ERK2",1434,0.5924762947507591
"BRPF1, BRPF2, BRPF3",1434,0.5924762947507591
CDK9,1432,0.5916499679798376
"GSK3A, GSK3B",1181,0.48794595822918174
"Proteasome, CAPN1",969,0.40035532051149625
"AKT1, AKT2",968,0.3999421571260354
Antimetabolite (DNA & RNA),968,0.3999421571260354
Broad spectrum kinase inhibitor,968,0.3999421571260354
PI3K (class 1),967,0.39952899374057466
"WEE1, PLK1",967,0.39952899374057466
"BCL2, BCL-XL, BCL-W",967,0.39952899374057466
"MET, ALK, ROS1",966,0.3991158303551139
"EGFR, ERBB2, ERBB3",966,0.3991158303551139
TP53,966,0.3991158303551139
"ABL, SRC, Ephrins, PDGFR, KIT",962,0.39746317681327076
BCL-XL,962,0.39746317681327076
"CHEK1, CHEK2",961,0.39705001342781
"PDGFR, KIT, VEGFR",961,0.39705001342781
Pyrimidine antimetabolite,960,0.3966368500423492
"HDAC inhibitor Class I, IIa, IIb, IV",959,0.39622368665688845
"USP7, USP47",958,0.3958105232714277
"ESR1, ESR2",958,0.3958105232714277
BIRC5,958,0.3958105232714277
Anthracycline,958,0.3958105232714277
RNA helicase A,958,0.3958105232714277
LRRK2,958,0.3958105232714277
IDH1 (R132H),958,0.3958105232714277
"AKT1, AKT, AKT3",958,0.3958105232714277
"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",958,0.3958105232714277
"PI3Kalpha, PI3Kbeta",958,0.3958105232714277
"AKT1, AKT2, AKT3, ROCK2",958,0.3958105232714277
BRD9,958,0.3958105232714277
BCL2,958,0.3958105232714277
"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",958,0.3958105232714277
"PDGFR, KIT, VEGFR, RAF",958,0.3958105232714277
"PI3K (class 1), MTORC1, MTORC2",958,0.3958105232714277
Telomerase,958,0.3958105232714277
Alkylating agent,957,0.39539735988596686
"WEE1, CHEK1",957,0.39539735988596686
"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",957,0.39539735988596686
MET,957,0.39539735988596686
ESR1,957,0.39539735988596686
Proteasome,957,0.39539735988596686
NAE,956,0.3949841965005061
ATM,955,0.3945710331150453
CDK1,955,0.3945710331150453
ABL,955,0.3945710331150453
"p38, JNK2",955,0.3945710331150453
ERK2,954,0.39415786972958455
"Amyloid beta20, Amyloid beta40",954,0.39415786972958455
AKT1,954,0.39415786972958455
PMRT5,954,0.39415786972958455
"RSK2, RSK1, RSK3",954,0.39415786972958455
NTRK1,953,0.3937447063441238
"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",953,0.3937447063441238
TERT,952,0.393331542958663
"CHEK1, CHEK2, CDK2",952,0.393331542958663
G-quadruplex stabiliser,951,0.3929183795732022
JNK,950,0.3925052161877414
MTORC1,950,0.3925052161877414
"VEGFR, RET, KIT, PDGFR",949,0.39209205280228066
CRBN,949,0.39209205280228066
SMO,949,0.39209205280228066
AURKA,949,0.39209205280228066
"SRC, ABL, TEC",949,0.39209205280228066
"BRD2, BRD3, BRD4, BRDT",949,0.39209205280228066
"FLT3, JAK2, NTRK1, NTRK2, NTRK3",947,0.3912657260313591
DNAPK,945,0.3904393992604375
"AURKA, AURKB",944,0.39002623587497676
"RAC1, RAC2, RAC3",943,0.389613072489516
"PLK1, PLK2, PLK3",923,0.38134980478030034
MTOR,922,0.38093664139483957
"HDAC1, HDAC3",898,0.3710207201437809
PI3Kgamma,894,0.3693680666019377
Pyrimidine synthesis inhibitor,894,0.3693680666019377
"Polybromo 1, SMARCA4, SMARCA2",894,0.3693680666019377
"BRPF1B, BRPF2",894,0.3693680666019377
TP53 activation,894,0.3693680666019377
KRAS (G12C),894,0.3693680666019377
"HDAC8, HDAC6, HDAC1",894,0.3693680666019377
MRE11,894,0.3693680666019377
"NUAK1, NUAK2",894,0.3693680666019377
IDH2 R140Q mutant,893,0.36895490321647695
"XIAP, IAP1, IAP2",893,0.36895490321647695
Inflammatory related,893,0.36895490321647695
"JAK2, JAK3",892,0.3685417398310162
"IKK-1, IKK-2",892,0.3685417398310162
TGFB1,892,0.3685417398310162
"BCL2,  BCL-XL,  BFL1, MCL1",892,0.3685417398310162
"CDK1, CDK2, CDK5, CDK9",891,0.3681285764455554
"USP1, UAF1",891,0.3681285764455554
BTK,890,0.3677154130600946
PERK,886,0.3660627595182515
"XIAP, cIAP",881,0.3639969425909476
"BCL2, BCL-XL, BCL-W, MCL1",785,0.32433325758671266
DNA crosslinker,760,0.31400417295019317
