Value,Count,Percent
Unclassified,24979,10.320408205424837
PI3K/MTOR signaling,22724,9.388724771210775
Other,21402,8.842522775631624
DNA replication,17649,7.291920589997314
"Other, kinases",17277,7.138223810605904
ERK MAPK signaling,13350,5.515731195901419
Genome integrity,12221,5.049269733716198
Cell cycle,11620,4.800958539054269
Apoptosis regulation,10828,4.47373313776933
Chromatin histone methylation,10612,4.384489846509802
RTK signaling,10573,4.368376474476832
Chromatin other,8576,3.543289193711653
Chromatin histone acetylation,8162,3.37223955213089
WNT signaling,7631,3.1528497944512157
Protein stability and degradation,7087,2.928088912760551
EGFR signaling,6734,2.7822422376928957
Mitosis,6453,2.6661433263784162
IGF1R signaling,5512,2.2773565806598217
Metabolism,4802,1.984010576982668
Hormone-related,3820,1.5782841324601813
p53 pathway,3776,1.560104943499907
Cytoskeleton,3387,1.3993843865556634
JNK and p38 signaling,1905,0.7870762493027869
ABL signaling,955,0.3945710331150453
