Value,Count,Percent
UNCLASSIFIED,45038,19.020148569835847
LUAD,15473,6.534454434501312
SCLC,13032,5.503587551891752
BRCA,12750,5.3844951877393985
SKCM,12277,5.184740974107969
COREAD,12077,5.100278304496371
HNSC,9358,3.9520083111266895
ESCA,9126,3.8540316143772353
GBM,8204,3.4646587074677666
OV,7802,3.294888741548454
DLBC,7621,3.218450025549958
PAAD,7513,3.1728401839596945
KIRC,7282,3.0752858005582984
NB,6931,2.927053815389943
ALL,6436,2.718008708101237
LAML,6209,2.6221435780920728
STAD,5880,2.4832024865809936
MESO,5561,2.348484528550494
BLCA,4724,1.9950082562259546
MM,4598,1.9417967743706477
LIHC,4164,1.758512781313479
LUSC,3863,1.6313964635480234
THCA,3857,1.6288625834596755
CESC,3631,1.5334197667985692
LGG,3617,1.5275073799257572
LCML,2611,1.1026601517794172
UCEC,2512,1.060851130321676
PRAD,1676,0.7077971713451947
MB,1072,0.4527199091181675
Unknown,888,0.37501425307549696
CLL,550,0.23227234143189562
ACC,279,0.11782542410817978
OTHER,179,0.07559408930238058
