Value,Count,Percent
LUNG,134114,19.431404594663515
TRACT,75271,10.90580592067135
SKIN,58583,8.487927996847255
SYSTEM,49622,7.1895936203259385
PANCREAS,47087,6.822304518163063
OVARY,42636,6.177411502886153
INTESTINE,38439,5.569319841435426
OESOPHAGUS,34898,5.056274196165704
BREAST,31703,4.593359528942671
ENDOMETRIUM,30592,4.432389827758073
LIVER,24101,3.4919268841134063
STOMACH,24084,3.489463801377008
KIDNEY,23446,3.3970257551521894
TISSUE,18987,2.750973642116976
BONE,17007,2.4640969469365044
THYROID,14508,2.102023784686
PLEURA,11216,1.6250550571435194
GANGLIA,7163,1.0378271553422815
PROSTATE,5821,0.8433885063866285
GLAND,914,0.13242691888633887
