Value,Count,Percent
Unknown,449031,65.05885318867793
breast cancer,7136,1.0339152004080023
non-small cell lung cancer (NSCLC),6955,1.0076906136263533
prostate cancer,4479,0.6489498574309758
corticosteroid-responsive dermatoses,3950,0.5723045181630619
hypertension,3736,0.5412986531284049
multiple myeloma,3601,0.5217388784570091
contraceptive,3540,0.512900758049934
colorectal cancer,3421,0.49565917889514804
melanoma,3360,0.48682105848807283
malaria,2699,0.3910506062081276
schizophrenia,2672,0.3871386512738484
chronic lymphocytic leukemia (CLL),2487,0.3603345156130468
cutaneous T-cell lymphoma (CTCL),2227,0.3226638384681364
coccidiosis,2223,0.32208428958898394
cosmetic,2223,0.32208428958898394
chronic myeloid leukemia (CML),2189,0.317158124116188
anesthetic,2059,0.29832278554373276
acute myeloid leukemia (AML),2027,0.293686394510513
acute lymphoblastic leukemia (ALL),1848,0.2677515821684401
peripheral T-cell lymphoma (PTCL),1800,0.26079699561861047
"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)",1722,0.24949579247513734
renal cell carcinoma (RCC),1682,0.24370030368361267
"breast cancer, colorectal cancer",1679,0.24326564202424833
diabetes mellitus,1676,0.24283098036488399
gram-positive bacterial infections,1667,0.24152699538679095
seizures,1616,0.23413774717759694
basal cell carcinoma (BCC),1615,0.23399285995780883
ovarian cancer,1491,0.21602684470408234
"allergic rhinitis, urticaria",1352,0.1958875211535341
abstinence from alcohol,1326,0.19212045343904305
bronchitis,1322,0.1915409045598906
head and neck squamous cell carcinoma (HNSCC),1278,0.18516586688921344
medullary thyroid cancer (MTC),1276,0.1848760924496372
fungal infection,1238,0.17937037809768874
"hypertension, congestive heart failure",1236,0.17908060365811254
human immunodeficiency virus (HIV-1),1214,0.17589308482277394
hyperlipidemia,1192,0.1727055659874354
gram-negative bacterial infections,1162,0.16835894939379187
organ rejection,1136,0.16459188167930083
endometriosis,1092,0.15821684400862368
heartburn,1061,0.15372534019519207
diarrhea,965,0.13981616709553285
periodontitis,936,0.13561443772167744
bladder cancer,932,0.13503488884252499
tapeworm,931,0.13489000162273687
"multiple myeloma, mantle cell lymphoma (MCL)",923,0.13373090386443193
"tinea pedis, tinea cruris, tinea corporis",923,0.13373090386443193
skin infections,923,0.13373090386443193
virus herpes simplex (HSV),920,0.13329624220506758
"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)",914,0.13242691888633887
"breast cancer, non-small cell lung cancer (NSCLC), prostate cancer, gastric adenocarcinoma, head and neck squamous cell carcinoma (HNSCC)",913,0.13228203166655075
vitamin D deficiency,909,0.1317024827873983
"rheumatoid arthritis, hip dysplasia",898,0.130108723369729
"myelodysplastic diseases (MDS), anemia, chronic myelomonocytic leukemia (CMMoL)",897,0.1299638361499409
"non-small cell lung cancer (NSCLC), pancreatic cancer",893,0.1293842872707884
hyponatremia,893,0.1293842872707884
primary peritoneal cancer (PPC),893,0.1293842872707884
hypotension,892,0.1292394000510003
thyroid cancer,889,0.12880473839163595
"colorectal cancer, gastrointestinal stromal tumors (GIST)",886,0.1283700767322716
peptic ulcer disease (PUD),884,0.12808030229269535
"renal cell carcinoma (RCC), thyroid cancer, hepatocellular carcinoma (HCC)",869,0.1259069939958736
"acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL)",868,0.12576210677608549
atrial fibrillation (AF),867,0.1256172195562974
"renal cell carcinoma (RCC), soft tissue sarcoma (STS)",866,0.12547233233650926
anxiety,861,0.12474789623756867
acne vulgaris (AV),855,0.12387857291883998
mastitis,854,0.12373368569905185
"chronic lymphocytic leukemia (CLL), mantle cell lymphoma (MCL), Waldenstrom's macroglobulinemia (WM)",853,0.12358879847926374
irritable bowel syndrome,852,0.12344391125947561
"Cushing's syndrome, breast cancer",851,0.12329902403968751
"gastrointestinal stromal tumors (GIST), renal cell carcinoma (RCC), neuroendocrine tumors of pancreatic origin (PNET)",850,0.1231541368198994
"hyperparathyroidism, chronic kidney disease (CKD), parathyroid carcinoma, hypercalcemia",849,0.12300924960011127
"osteoarthritis, rheumatoid arthritis",849,0.12300924960011127
pain relief,845,0.1224297007209588
bovine respiratory disease (BRD),841,0.12185015184180634
epilepsy,839,0.12156037740223011
acute promyelocytic leukemia (APL),839,0.12156037740223011
"acute lymphoblastic leukemia (ALL), acute lymphoblastic leukemia (ALL)",833,0.12069105408350139
"rheumatoid arthritis, osteoarthritis",832,0.12054616686371328
abdominal pain,831,0.12040127964392518
"breast cancer, neuroendocrine tumors of pancreatic origin (PNET), renal cell carcinoma (RCC), subependymal giant cell astrocytoma (SEGA), tuberous sclerosis complex (TSC), renal angiomyolipoma",822,0.11909729466583212
"actinic keratosis (AK), genital warts, basal cell carcinoma (BCC)",819,0.11866263300646777
"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL), myelodysplastic diseases (MDS), aggressive systemic mastocytosis (ASM), hypereosinophilic syndrome (HES), chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans (DFSP), gastrointestinal stromal tumors (GIST)",819,0.11866263300646777
"thrombocythemia, myeloproliferative neoplasms",817,0.11837285856689153
"myelofibrosis, polycythemia vera",811,0.11750353524816283
allergic rhinitis,811,0.11750353524816283
hepatitis C,808,0.11706887358879847
vulvovaginal candidiasis,796,0.11533022695134108
"myelodysplastic diseases (MDS), anemia, chronic myeloid leukemia (CML)",796,0.11533022695134108
depression,792,0.11475067807218862
"conjunctivitis, rosacea, punctate keratitis, shingles, iritis, cyclitis",789,0.11431601641282425
constipation,789,0.11431601641282425
"intraocular pressure, glaucoma",784,0.11359158031388368
local anesthetic,776,0.11243248255557875
seborrheic dermatitis,766,0.11098361035769756
hairy cell leukemia,754,0.10924496372024016
"melanoma, Hodgkin's lymphoma",732,0.1060574448849016
muscle relaxant,731,0.10591255766511348
first-aid antiseptic,698,0.10113127941210562
gastrointestinal parasites,476,0.06896631661914365
mesothelioma,472,0.0683867677399912
"diarrhea, inflammatory bowel disease, giardiasis, dandruff",471,0.06824188052020308
asthma,470,0.06809699330041495
"hypercholesterolemia, congenital heart defects",470,0.06809699330041495
"small cell lung cancer, cervical cancer",470,0.06809699330041495
genital warts,469,0.06795210608062684
"Hodgkin's lymphoma, true histiocytic lymphoma (THL), mycosis, small lymphocytic lymphoma (SLL), testicular carcinoma, Kaposi sarcoma",468,0.06780721886083872
"breast cancer, non-small cell lung cancer (NSCLC), melanoma",468,0.06780721886083872
dandruff,467,0.06766233164105061
"tuberculosis, meningitis",467,0.06766233164105061
"dysentry, colitis, pneumonia",466,0.06751744442126249
"joint pain, nasal congestion, constipation, irritability, allergic rhinitis",466,0.06751744442126249
"gingivitis, mouth inflammation",465,0.06737255720147438
strongyles,465,0.06737255720147438
"acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma",464,0.06722766998168625
"gastrointestinal roundworms, lungworms, cattle grubs, mites, lice, horn flies",464,0.06722766998168625
diagnostic agent,464,0.06722766998168625
bile stimulation,464,0.06722766998168625
endogenous uveitis,463,0.06708278276189814
"hyperglycemia, diabetes mellitus",462,0.06693789554211002
"hypertension, urticaria, headache, seasonal affective disorder",462,0.06693789554211002
"ventricular arrhythmias, ventricular tachycardia (VT)",462,0.06693789554211002
"headache, chest congestion, allergic rhinitis",462,0.06693789554211002
onychomycosis,461,0.0667930083223219
"anemia, hepatitis C, thrombocytopenia",460,0.06664812110253379
"angina pectoris, hypertension, cardiac arrythmia",460,0.06664812110253379
"seizures, panic disorders",460,0.06664812110253379
"chronic lymphocytic leukemia (CLL), non-Hodgkin lymphoma (NHL)",460,0.06664812110253379
urinary incontinence,459,0.06650323388274568
general anaesthetic,458,0.06635834666295755
"hypercholesterolemia, coronary heart disease, myocardial infarction, stroke, hyperlipidemia",457,0.06621345944316943
"pneumonia, bronchitis, skin infections, tonsillitis, pharyngitis",457,0.06621345944316943
"urinary tract infections, gonorrhea, prostatitis",456,0.06606857222338132
infertility,455,0.0659236850035932
"joint pain, muscle pain",454,0.06577879778380508
multiple sclerosis,453,0.06563391056401698
insomnia,453,0.06563391056401698
"chronic myeloid leukemia (CML), head and neck squamous cell carcinoma (HNSCC)",453,0.06563391056401698
"contraceptive, endometriosis",453,0.06563391056401698
leishmaniasis,453,0.06563391056401698
"testicular carcinoma, small cell lung cancer",452,0.06548902334422885
"diabetes mellitus, diabetes mellitus",452,0.06548902334422885
"schizophrenia, bipolar disorder",451,0.06534413612444073
"pneumonia, tonsillitis, pharyngitis, bronchitis, skin infections, otitis, sinusitis",451,0.06534413612444073
idiopathic pulmonary fibrosis (IPF),451,0.06534413612444073
"vulvovaginal candidiasis, oropharyngeal candidiasis",451,0.06534413612444073
reverse sedative,451,0.06534413612444073
