Value,Count,Percent
Unknown,30084,4.35878712010571
EGFR inhibitor,20307,2.9422247722372905
HDAC inhibitor,12937,1.8744059623988687
CDK inhibitor,10644,1.5421795674247165
tubulin polymerization inhibitor,10436,1.5120430257087882
topoisomerase inhibitor,10271,1.488136634443749
MEK inhibitor,10118,1.4659688898161671
glucocorticoid receptor agonist,9756,1.4135197162528688
mTOR inhibitor,8922,1.2926837749495792
Aurora kinase inhibitor,8457,1.225311217748105
HSP inhibitor,8141,1.1795268562950598
PI3K inhibitor,7848,1.1370749008971417
protein synthesis inhibitor,7826,1.1338873820618032
histamine receptor antagonist,7143,1.0349294109465192
adrenergic receptor antagonist,7036,1.0194264784291907
cyclooxygenase inhibitor,6248,0.9052553492361546
PARP inhibitor,6144,0.8901870783781904
glutamate receptor antagonist,5788,0.8386072281336208
AKT inhibitor,5711,0.8274509122099358
adrenergic receptor agonist,5650,0.8186127918028606
RAF inhibitor,5096,0.7383452720402439
dopamine receptor antagonist,4958,0.7183508357094837
ALK tyrosine kinase receptor inhibitor,4822,0.6986461738182999
"mTOR inhibitor, PI3K inhibitor",4808,0.6966177527412661
benzodiazepine receptor agonist,4699,0.6808250457843614
phosphodiesterase inhibitor,4613,0.6683647448825835
sodium channel blocker,4561,0.6608306094536013
DNA alkylating agent,4404,0.638083315946867
BCL inhibitor,4340,0.6288105338804275
DNA inhibitor,4281,0.6202621879129286
JAK inhibitor,4260,0.6172195562973781
VEGFR inhibitor,4164,0.6033103831977189
CHK inhibitor,4089,0.5924438417136102
retinoid receptor agonist,3990,0.5781000069545865
proteasome inhibitor,3643,0.52782414168811
adenosine receptor antagonist,3639,0.5272445928089575
serotonin receptor antagonist,3579,0.5185513596216704
p38 MAPK inhibitor,3468,0.5024688782251896
ATPase inhibitor,3451,0.5000057954887915
NFkB pathway inhibitor,3388,0.4908779006421402
DNA synthesis inhibitor,3286,0.47609940422375224
bacterial DNA gyrase inhibitor,3203,0.4640737649813385
progesterone receptor agonist,3190,0.462190231124093
glycogen synthase kinase inhibitor,3143,0.4553805317940515
PLK inhibitor,3122,0.45233790017850106
bacterial 50S ribosomal subunit inhibitor,3080,0.44625263694740014
CC chemokine receptor antagonist,3074,0.44538331362867145
ribonucleotide reductase inhibitor,3070,0.44480376474951894
"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",3054,0.4424855692329091
acetylcholine receptor antagonist,3006,0.4355309826830795
DNA methyltransferase inhibitor,2995,0.4339372232654102
bromodomain inhibitor,2987,0.4327781255071053
calcium channel blocker,2961,0.4290110577926142
MDM inhibitor,2960,0.42886617057282617
vitamin D receptor agonist,2908,0.42133203514384404
histone lysine methyltransferase inhibitor,2750,0.39843985441732155
microtubule inhibitor,2712,0.3929341400653731
acetylcholine receptor agonist,2632,0.3813431624823238
protein tyrosine kinase inhibitor,2626,0.38047383916359506
TGF beta receptor inhibitor,2618,0.3793147414052901
thymidylate synthase inhibitor,2613,0.3785903053063495
opioid receptor agonist,2598,0.3764169970095278
IGF-1 inhibitor,2529,0.3664197788441477
HMGCR inhibitor,2442,0.35381459072258153
cytochrome P450 inhibitor,2329,0.3374423348865243
androgen receptor antagonist,2295,0.33251616941372836
src inhibitor,2222,0.3219394023691958
"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",2212,0.3204905301713146
"EGFR inhibitor, VEGFR inhibitor",2211,0.3203456429515265
RNA polymerase inhibitor,2211,0.3203456429515265
rho associated kinase inhibitor,2175,0.31512970303915433
tyrosine kinase inhibitor,2171,0.31455015416000187
chelating agent,2168,0.3141154925006375
dihydrofolate reductase inhibitor,2149,0.3113626353246633
bacterial cell wall synthesis inhibitor,2141,0.3102035375663584
estrogen receptor agonist,2141,0.3102035375663584
opioid receptor antagonist,2106,0.30513248487377426
membrane integrity inhibitor,2097,0.30382849989568117
antioxidant,2079,0.3012205299394951
DNA polymerase inhibitor,2065,0.29919210886246145
serotonin receptor agonist,2054,0.29759834944479213
"nuclear factor erythroid derived, like (NRF2) activator",2034,0.29470060504902984
Bruton's tyrosine kinase (BTK) inhibitor,1995,0.28905000347729326
sterol demethylase inhibitor,1944,0.2816607552680993
PPAR receptor agonist,1898,0.2749959431578459
exportin antagonist,1875,0.27166353710271923
ATR kinase inhibitor,1864,0.27006977768504997
HCV inhibitor,1841,0.2667373716299233
antiprotozoal agent,1829,0.26499872499246585
caspase activator,1817,0.2632600783550085
other antibiotic,1808,0.2619560933769154
MET inhibitor,1796,0.260217446739458
matrix metalloprotease inhibitor,1795,0.26007255951966984
"dopamine receptor antagonist, serotonin receptor antagonist",1788,0.2590583489811531
XIAP inhibitor,1785,0.25862368732178875
dihydroorotate dehydrogenase inhibitor,1781,0.25804413844263624
potassium channel blocker,1780,0.2578992512228481
IKK inhibitor,1751,0.25369752184899275
apoptosis stimulant,1750,0.25355263462920463
focal adhesion kinase inhibitor,1738,0.2518139879917472
c-Met inhibitor,1726,0.2500753413542898
carbonic anhydrase inhibitor,1620,0.23471729605674943
monoamine oxidase inhibitor,1617,0.2342826343973851
local anesthetic,1559,0.22587917564967427
kinesin-like spindle protein inhibitor,1546,0.22399564179242876
aromatase inhibitor,1543,0.2235609801330644
bacterial permeability inducer,1479,0.21428819806662494
metalloproteinase inhibitor,1400,0.20284210770336372
farnesyltransferase inhibitor,1396,0.20226255882421124
STAT inhibitor,1396,0.20226255882421124
ubiquitin specific protease inhibitor,1374,0.19907503998887266
PKC inhibitor,1370,0.19849549110972017
Bcr-Abl kinase inhibitor,1364,0.19762616779099149
PDGFR tyrosine kinase receptor inhibitor,1360,0.19704661891183903
hypoxia inducible factor inhibitor,1358,0.1967568444722628
