Value,Count,Percent
talazoparib,1357,0.19661195725247468
selinexor,939,0.1360490993810418
tosedostat,938,0.13590421216125367
doxycycline,936,0.13561443772167744
oxiracetam,932,0.13503488884252499
P276-00,931,0.13489000162273687
dinaciclib,929,0.13460022718316061
narasin,927,0.1343104527435844
napabucasin,926,0.13416556552379627
U-0126,924,0.13387579108422004
carfilzomib,923,0.13373090386443193
bortezomib,923,0.13373090386443193
disulfiram,922,0.1335860166446438
ganetespib,921,0.1334411294248557
NVP-AUY922,920,0.13329624220506758
gambogic-acid,919,0.13315135498527947
saracatinib,918,0.13300646776549135
tanespimycin,918,0.13300646776549135
abemaciclib,917,0.1328615805457032
PHA-848125,915,0.132571806106127
paclitaxel,914,0.13242691888633887
BIIB021,914,0.13242691888633887
foretinib,913,0.13228203166655075
docetaxel,913,0.13228203166655075
trametinib,911,0.13199225722697452
batimastat,911,0.13199225722697452
lapatinib,911,0.13199225722697452
MK-1775,909,0.1317024827873983
pralatrexate,908,0.13155759556761015
litronesib,908,0.13155759556761015
tivantinib,908,0.13155759556761015
tozasertib,907,0.13141270834782207
ispinesib,906,0.13126782112803395
AZD2014,906,0.13126782112803395
SCH-900776,906,0.13126782112803395
STA-5326,905,0.1311229339082458
ponatinib,904,0.1309780466884577
brigatinib,904,0.1309780466884577
GSK2110183,903,0.1308331594686696
elesclomol,902,0.13068827224888147
ARRY-334543,901,0.13054338502909335
FK-866,901,0.13054338502909335
GDC-0068,901,0.13054338502909335
indisulam,898,0.130108723369729
tepoxalin,898,0.130108723369729
crizotinib,897,0.1299638361499409
azacitidine,897,0.1299638361499409
dacomitinib,897,0.1299638361499409
uprosertib,897,0.1299638361499409
neratinib,896,0.12981894893015275
idasanutlin,896,0.12981894893015275
osimertinib,896,0.12981894893015275
2-methoxyestradiol,895,0.12967406171036466
atiprimod,894,0.12952917449057655
LY2801653,893,0.1293842872707884
erlotinib,893,0.1293842872707884
AS-703026,893,0.1293842872707884
mozavaptan,893,0.1293842872707884
niraparib,893,0.1293842872707884
BMS-754807,892,0.1292394000510003
poziotinib,892,0.1292394000510003
belinostat,892,0.1292394000510003
tucatinib,891,0.1290945128312122
homoharringtonine,891,0.1290945128312122
vorinostat,891,0.1290945128312122
canertinib,890,0.12894962561142406
brequinar,889,0.12880473839163595
lenvatinib,889,0.12880473839163595
pelitinib,888,0.12865985117184783
fosbretabulin,888,0.12865985117184783
ONC201,887,0.12851496395205972
regorafenib,886,0.1283700767322716
barasertib,886,0.1283700767322716
LY2603618,886,0.1283700767322716
bardoxolone-methyl,886,0.1283700767322716
BMS-690514,885,0.1282251895124835
AT13387,885,0.1282251895124835
ribociclib,884,0.12808030229269535
XL-647,884,0.12808030229269535
linifanib,883,0.12793541507290726
tivozanib,882,0.12779052785311915
panobinostat,880,0.1275007534135429
olaparib,879,0.1273558661937548
CGS-15943,879,0.1273558661937548
volasertib,878,0.12721097897396666
indirubin,874,0.1266314300948142
bexarotene,873,0.1264865428750261
axitinib,872,0.12634165565523794
oxyquinoline,871,0.12619676843544986
selumetinib,870,0.12605188121566174
