Value,Count,Percent
Unknown,126092,18.269119317523238
MTOR,8547,1.2383510675290355
EGFR,7860,1.138813547534599
HSP90AA1,5808,0.841504972529383
MET,4857,0.7037172265108839
TOP2A,4251,0.6159155713192851
NR3C1,4123,0.5973700071864061
BCL2,3939,0.5707107587453926
TYMS,3861,0.5594095556019194
TUBB,3637,0.5269548183693813
"EGFR, ERBB2",3570,0.5172473746435775
"AKT1, AKT2, AKT3",3564,0.5163780513248488
ERBB2,3515,0.509278577555231
TOP1,3286,0.47609940422375224
KIF11,3195,0.46291466722303365
MAP2K1,3175,0.46001692282727125
PGR,3092,0.4479912835848575
"MAP2K1, MAP2K2",3090,0.44770150914528134
"EGFR, ERBB2, ERBB4",3059,0.4432100053318497
VDR,2909,0.42147692236363216
"PIK3CA, PIK3CB, PIK3CD, PIK3CG",2902,0.42046271182511535
"AURKA, AURKB, AURKC",2739,0.39684609499965223
PLK1,2666,0.3862693279551197
"TOP2A, TOP2B",2657,0.38496534297702667
"CDK4, CDK6",2648,0.38366135799893364
HDAC1,2627,0.3806187263833832
"NR3C1, SERPINA6",2543,0.36844819992118133
HRH2,2423,0.3510617335466073
"IMPDH1, IMPDH2",2394,0.346860004172752
"PTGS1, PTGS2",2386,0.345700906414447
CHEK1,2262,0.32773489116072047
ATP1A1,2209,0.3200558685119503
BRAF,2173,0.3148399285995781
ESR1,2161,0.31310128196212067
PARP1,2084,0.3019449660384357
"BRAF, RAF1",2076,0.30078586828013076
"BRD2, BRD3, BRD4",2075,0.30064098106034265
"NR3C1, PLA2G1B",2004,0.29035398845538635
ADRB2,1994,0.28890511625750515
AR,1877,0.27195331154229546
XPO1,1875,0.27166353710271923
STAT3,1860,0.2694902288058975
"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",1848,0.2677515821684401
"AURKA, AURKB",1805,0.26152143171755105
PTPN1,1788,0.2590583489811531
CYP3A4,1775,0.25717481512390755
DHODH,1766,0.2558708301458145
AURKA,1743,0.25253842409068783
"ALK, MET",1729,0.25051000301365417
"OPRD1, OPRK1, OPRM1",1726,0.2500753413542898
TGFBR1,1703,0.24674293529916314
"DNMT1, DNMT3A",1693,0.24529406310128196
"TLR7, TLR8",1670,0.2419616570461553
"ADRB1, ADRB2",1654,0.2396434615295454
"ADORA1, ADORA2A, ADORA2B, ADORA3",1651,0.23920879987018107
MDM2,1624,0.23529684493590186
SMO,1615,0.23399285995780883
"ESR1, ESR2",1582,0.229211581704801
CYP19A1,1543,0.2235609801330644
SCN10A,1509,0.21863481466026843
IKBKB,1400,0.20284210770336372
"MTOR, PIK3CA",1389,0.20124834828569443
FAAH,1368,0.19820571667014397
GSK3B,1366,0.19791594223056772
KDR,1366,0.19791594223056772
SYK,1364,0.19762616779099149
NAMPT,1362,0.19733639335141523
PARP2,1357,0.19661195725247468
"ALK, EGFR",1354,0.1961772955931103
RPL3,1351,0.19574263393374597
SLC6A3,1347,0.1951630850545935
WEE1,1345,0.19487331061501725
"MDM2, TP53",1336,0.1935693256369242
NR3C2,1334,0.193279551197348
"TOP1, TOP1MT",1320,0.19125113012031436
"BCL2, BCL2L1, BCL2L2",1320,0.19125113012031436
"CHRM1, CHRM2, CHRM3",1302,0.18864316016412824
ACHE,1298,0.18806361128497578
RELA,1297,0.18791872406518764
AURKB,1288,0.1866147390870946
CETP,1285,0.18618007742773024
"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",1280,0.18545564132878967
JAK2,1270,0.1840067691309085
ACE,1268,0.18371699469133226
"ESR1, ESR2, MAP1A, MAP2",1265,0.18328233303196792
"FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET",1263,0.1829925585923917
HMGCR,1261,0.18270278415281543
PDE3A,1243,0.18009481419662934
"JAK1, JAK2, JAK3",1200,0.17386466374574033
"JAK1, JAK2, JAK3, TYK2",1192,0.1727055659874354
"SLC6A2, SLC6A3, SLC6A4",1145,0.1658958666573939
"KDR, MET",1115,0.16154925006375037
TYR,1114,0.16140436284396226
HRH1,1065,0.15430488907434453
"ANPEP, LAP3, NPEPPS",938,0.13590421216125367
MMP8,936,0.13561443772167744
PIK3CA,934,0.13532466328210122
OPRK1,933,0.1351797760623131
"CDK1, CDK4, CDK9",931,0.13489000162273687
