Value,Count,Percent
LUNG,69925,19.653778697187057
TRACT,41029,11.531996941964788
SKIN,30814,8.66087288916871
SYSTEM,24362,6.847413037123648
OVARY,23650,6.647291615137274
PANCREAS,22676,6.373530006970521
OESOPHAGUS,18969,5.331605693342028
INTESTINE,18807,5.286072448451869
ENDOMETRIUM,15629,4.392833854248646
BREAST,14985,4.211825152339622
STOMACH,13225,3.7171429856317313
LIVER,11967,3.363557664200751
KIDNEY,10914,3.067591572414724
TISSUE,10428,2.9309918377442497
BONE,8276,2.3261304611786926
THYROID,7424,2.0866593213860094
PLEURA,5265,1.4798304589301374
GANGLIA,3846,1.080992962021901
PROSTATE,3054,0.8583859870033503
GLAND,539,0.15149641355429136
