Value,Count,Percent
Unknown,257023,72.2413037123648
non-small cell lung cancer (NSCLC),3773,1.0604748948800395
multiple myeloma,3002,0.8437703775324354
breast cancer,2665,0.7490499853843906
colorectal cancer,2514,0.7066085040361568
chronic myeloid leukemia (CML),1587,0.4460571582758078
cosmetic,1580,0.4440896723854923
coccidiosis,1521,0.4275065770242619
acute lymphoblastic leukemia (ALL),1487,0.4179502169855868
melanoma,1451,0.4078317181211072
acute myeloid leukemia (AML),1390,0.3906864839340724
peripheral T-cell lymphoma (PTCL),1286,0.3614552649922425
"chronic myeloid leukemia (CML), acute lymphoblastic leukemia (ALL)",1234,0.34683965552132756
contraceptive,1125,0.3162030895149866
cutaneous T-cell lymphoma (CTCL),1108,0.31142490949564905
malaria,1012,0.2844422458570368
corticosteroid-responsive dermatoses,995,0.27966406583769926
prostate cancer,967,0.2717941222764374
"multiple myeloma, mantle cell lymphoma (MCL)",888,0.24958963865716277
bladder cancer,873,0.2453735974636296
hyperlipidemia,833,0.2341308209475412
schizophrenia,820,0.23047691857981245
"allergic rhinitis, urticaria",820,0.23047691857981245
tapeworm,810,0.22766622445079035
"acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL)",805,0.2262608773862793
human immunodeficiency virus (HIV-1),760,0.21361275380567984
periodontitis,746,0.20967778202504891
fungal infection,745,0.2093967126121467
organ rejection,731,0.20546174083151575
atrial fibrillation (AF),714,0.2006835608121782
abstinence from alcohol,702,0.19731072785735165
"ovarian cancer, breast cancer, non-small cell lung cancer (NSCLC)",696,0.19562431137993838
hypertension,680,0.191127200773503
vitamin D deficiency,675,0.18972185370899197
hypotension,672,0.18887864547028535
renal cell carcinoma (RCC),669,0.1880354372315787
"breast cancer, non-small cell lung cancer (NSCLC), prostate cancer, gastric adenocarcinoma, head and neck squamous cell carcinoma (HNSCC)",668,0.1877543678186765
"tinea pedis, tinea cruris, tinea corporis",662,0.18606795134126325
virus herpes simplex (HSV),613,0.17229555010905492
peptic ulcer disease (PUD),600,0.1686416477413262
mastitis,595,0.16723630067681514
"rheumatoid arthritis, osteoarthritis",577,0.16217705124457535
chronic lymphocytic leukemia (CLL),559,0.1571178018123356
hyponatremia,547,0.15374496885750905
gram-positive bacterial infections,520,0.14615609470914936
skin infections,517,0.14531288647044274
seizures,498,0.13997256762530075
"hyperparathyroidism, chronic kidney disease (CKD), parathyroid carcinoma, hypercalcemia",484,0.1360375958446698
genital warts,468,0.13154048523823444
dandruff,465,0.1306972769995278
"acute lymphoblastic leukemia (ALL), acute myeloid leukemia (AML), Wilm's tumor, breast cancer, ovarian cancer, Hodgkin's lymphoma, bladder cancer, multiple myeloma",464,0.1304162075866256
thyroid cancer,459,0.12901086052211455
"small cell lung cancer, cervical cancer",458,0.12872979110921234
diabetes mellitus,452,0.12704337463179907
"hypercholesterolemia, congenital heart defects",450,0.12648123580599463
"ventricular arrhythmias, ventricular tachycardia (VT)",449,0.12620016639309242
"seizures, panic disorders",447,0.12563802756728804
