Value,Count,Percent
selinexor,924,0.25970813752164235
carfilzomib,919,0.25830279045713134
dinaciclib,902,0.2535246104377937
napabucasin,888,0.24958963865716277
bortezomib,888,0.24958963865716277
P276-00,876,0.24621680570233623
talazoparib,848,0.23834686214107437
gambogic-acid,848,0.23834686214107437
panobinostat,845,0.23750365390236775
bardoxolone-methyl,843,0.23694151507656333
tosedostat,819,0.23019584916691027
homoharringtonine,811,0.22794729386369258
daunorubicin,805,0.2262608773862793
FK-866,798,0.22429339149596383
ganetespib,796,0.22373125267015942
SCH-900776,794,0.223169113844355
NVP-AUY922,768,0.21586130910889756
PHA-848125,763,0.2144559620443865
AT-7519,758,0.21305061497987546
narasin,751,0.21108312908955998
doxycycline,746,0.20967778202504891
alvocidib,739,0.2077102961347334
AT13387,738,0.20742922672183123
belinostat,737,0.207148157308929
dacomitinib,737,0.207148157308929
elesclomol,736,0.2068670878960268
BIIB021,726,0.2040563937670047
MK-1775,714,0.2006835608121782
ponatinib,712,0.20012142198637378
disulfiram,701,0.19702965844444945
paclitaxel,696,0.19562431137993838
atiprimod,695,0.1953432419670362
tanespimycin,684,0.19225147842511187
MLN0128,671,0.18859757605738314
oxyquinoline,670,0.18831650664448094
docetaxel,668,0.1877543678186765
pelitinib,666,0.18719222899287208
foretinib,661,0.18578688192836104
obatoclax,660,0.18550581251545883
XL-647,655,0.18410046545094777
volasertib,653,0.18353832662514336
afatinib,653,0.18353832662514336
oxiracetam,647,0.18185191014773008
alvespimycin,631,0.17735479954129474
ispinesib,628,0.1765115913025881
vorinostat,617,0.17341982776066378
GDC-0980,602,0.16920378656713062
tivantinib,600,0.1686416477413262
uprosertib,600,0.1686416477413262
AZD2014,599,0.168360578328424
irinotecan,596,0.16751737008971734
fosbretabulin,585,0.16442560654779304
monensin,581,0.1633013288961842
litronesib,579,0.16273919007037976
rigosertib,577,0.16217705124457535
AS-703026,570,0.1602095653542599
trametinib,558,0.15683673239943338
cobimetinib,558,0.15683673239943338
