Value,Count,Percent
Unknown,60456,16.992332426416027
MTOR,6501,1.8272322532772693
HSP90AA1,4858,1.3654352078789378
EGFR,4401,1.2369864861826276
TUBB,3455,0.9710948215771367
TOP2A,3333,0.9368043532030671
TOP1,3259,0.9160052166483034
BCL2,2912,0.8184741303712365
"EGFR, ERBB2",2327,0.6540485238234435
"TOP2A, TOP2B",2286,0.6425246778944528
KIF11,2274,0.6391518449396263
"MAP2K1, MAP2K2",2201,0.618633777797765
"AURKA, AURKB, AURKC",2198,0.6177905695590583
"AKT1, AKT2, AKT3",2194,0.6166662919074495
PLK1,2079,0.5843433094236953
ATP1A1,2048,0.5756301576237267
"EGFR, ERBB2, ERBB4",1943,0.5461178692689946
MAP2K1,1840,0.517167719740067
HDAC1,1835,0.5157623726755559
XPO1,1833,0.5152002338497516
MET,1819,0.5112652620691206
"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",1792,0.5036763879207609
STAT3,1742,0.4896229172756504
TYMS,1652,0.4643266701144515
CHEK1,1530,0.4300362017403818
AURKA,1502,0.42216625817911996
"IMPDH1, IMPDH2",1398,0.39293503923729006
ERBB2,1357,0.3814111933082994
NR3C1,1315,0.3696062779664066
"MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",1257,0.3533042520180784
NAMPT,1251,0.3516178355406651
RPL3,1235,0.3471207249342298
IKBKB,1231,0.3459964472826209
"MTOR, PIK3CA",1211,0.3403750590245767
VDR,1181,0.3319429766375104
GSK3B,1180,0.3316619072246082
"PIK3CA, PIK3CB, PIK3CD, PIK3CG",1120,0.3147977424504756
HMGCR,1106,0.31086277066984463
"AURKA, AURKB",1099,0.30889528477952916
BRAF,1089,0.3060845906505071
AURKB,1063,0.2987767859150496
"TOP1, TOP1MT",1054,0.2962471611989297
WEE1,1028,0.28893935646347224
"CDK4, CDK6",1003,0.281912621140917
DHODH,999,0.28078834348930815
PGR,964,0.27095091403773075
ESR1,963,0.2706698446248285
MDM2,942,0.26476738695388213
"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1",924,0.25970813752164235
"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9",919,0.25830279045713134
"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8",908,0.255211026915207
"CHEK1, CHEK2",908,0.255211026915207
"CDK1, CDK2, CDK5, CDK9",902,0.2535246104377937
SLC6A3,898,0.25240033278618484
MAPK8,898,0.25240033278618484
"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMA8, PSMB1, PSMB10, PSMB11, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMB7, PSMB8, PSMB9, PSMD1, PSMD2, RELA",888,0.24958963865716277
"ALK, MET",882,0.24790322217974953
"CDK1, CDK4, CDK9",876,0.24621680570233623
RELA,874,0.24565466687653184
JAK2,866,0.24340611157331413
ADRA1A,858,0.2411575562700965
PTPN1,853,0.23975220920558543
PARP2,848,0.23834686214107437
NR3C2,845,0.23750365390236775
"HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9",845,0.23750365390236775
"PPARG, STAT3",843,0.23694151507656333
"ABL1, BCR",838,0.23553616801205227
"OPRD1, OPRK1, OPRM1",823,0.2313201268185191
"ANPEP, LAP3, NPEPPS",819,0.23019584916691027
"TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA4A, TUBA8, TUBB, TUBB1, TUBB3, TUBB4A, TUBB4B",813,0.228509432689497
"NOS2, NOS3",808,0.22710408562498594
"CDK2, CHEK1",794,0.223169113844355
SRC,794,0.223169113844355
PIK3CA,782,0.2197962808895285
OPRK1,772,0.2169855867605064
"HSP90AA1, HSP90AB1",768,0.21586130910889756
"CDK2, CDK4, CDK7, NTRK1",763,0.2144559620443865
"JAK2, JAK3",760,0.21361275380567984
"CDK1, CDK2, CDK4, CDK5, CDK6, CDK9",758,0.21305061497987546
"BRD2, BRD3, BRD4",750,0.21080205967665774
MMP8,746,0.20967778202504891
"CDK1, CDK2, CDK4, CDK5, CDK6, CDK7, CDK8, CDK9, EGFR, PYGM",739,0.2077102961347334
"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9",737,0.207148157308929
HSPA1A,736,0.2068670878960268
TGFBR1,733,0.20602387965732016
KDR,722,0.20293211611539583
"ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK",712,0.20012142198637378
"BCL2, BCL2L1, BCL2L2",708,0.1989971443347649
"ALK, EGFR",708,0.1989971443347649
SYK,705,0.19815393609605828
"ALDH2, DBH",701,0.19702965844444945
"BCL2, MAP2, MAP4, MAPT, NR1I2, TLR4, TUBB, TUBB1",696,0.19562431137993838
"JAK2, STAT3",695,0.1953432419670362
PTK2,677,0.1902839925347964
"MTOR, PIK3CA, PIK3CD, PIK3CG",671,0.18859757605738314
METAP2,670,0.18831650664448094
FAAH,669,0.1880354372315787
ADRB2,669,0.1880354372315787
"BCL2, MAP2, MAP4, MAPT, NR1I2, TUBB, TUBB1",668,0.1877543678186765
"DNMT1, DNMT3A",663,0.18634902075416543
"FLT1, FLT4, KDR, MET",661,0.18578688192836104
"EGFR, EPHB4, ERBB2, FLT4, KDR",655,0.18410046545094777
"CHRM1, CHRM2, CHRM3",646,0.18157084073482788
"TUBA1A, TUBB, TUBB4B",641,0.1801654936703168
