Dataset Mode,Feature,Type,Missing Count,Mean,Std,Min,25%,Median,75%,Max
gdsc_metadata_plus_expression,RPS4Y1,continuous,0,5.9576397,3.9329832,2.5090296,3.143267869949341,3.4500861167907715,11.270835876464844,13.4230995
gdsc_metadata_plus_expression,KRT19,continuous,0,7.6183386,3.9315355,2.7606742,3.6813981533050537,6.534876823425293,11.94987964630127,13.488904
gdsc_metadata_plus_expression,VIM,continuous,0,9.681628,3.7141929,2.5991478,6.348055839538574,11.651105880737305,12.745747566223145,13.407691
gdsc_metadata_plus_expression,S100P,continuous,0,6.304362,3.6762192,2.8307443,3.3138949871063232,3.98797869682312,9.781434059143066,13.729743
gdsc_metadata_plus_expression,TACSTD2,continuous,0,5.773394,3.6045141,2.6417723,3.027970790863037,3.2780466079711914,9.865804672241211,12.534309
gdsc_metadata_plus_expression,TGFBI,continuous,0,7.0284486,3.4704914,2.9422653,3.3237953186035156,7.018771171569824,10.32705307006836,13.140789
gdsc_metadata_plus_expression,TM4SF1,continuous,0,7.826947,3.4641054,2.545996,3.407216787338257,9.155003547668457,10.747570991516113,13.217138
gdsc_metadata_plus_expression,SRGN,continuous,0,5.8573203,3.4141886,2.557041,3.004659414291382,3.6230599880218506,9.265548706054688,13.217002
gdsc_metadata_plus_expression,CAV1,continuous,0,8.289234,3.4094682,2.8319464,4.339256763458252,9.509844779968262,11.308195114135742,13.0000515
gdsc_metadata_plus_expression,DKK1,continuous,0,6.535958,3.3795881,2.3861456,3.0411159992218018,6.289144992828369,9.797470092773438,12.615605
gdsc_metadata_plus_expression,C19orf33,continuous,0,6.2115083,3.3949993,2.2519782,2.9514434337615967,4.158551216125488,9.786852836608887,11.956205
gdsc_metadata_plus_expression,NNMT,continuous,0,6.3755593,3.33373,2.6795015,3.469468355178833,4.4023213386535645,10.171835899353027,12.697196
gdsc_metadata_plus_expression,KRT8,continuous,0,7.2693458,3.345218,2.7063186,3.458207845687866,8.101147651672363,10.416603088378906,12.627376
gdsc_metadata_plus_expression,SPINT2,continuous,0,7.776139,3.3433917,2.6633215,3.6784801483154297,9.262036323547363,10.807387351989746,12.51651
gdsc_metadata_plus_expression,EPCAM,continuous,0,6.329982,3.3268368,2.5903292,3.082913398742676,5.088299751281738,9.935735702514648,11.73005
gdsc_metadata_plus_expression,BEX1,continuous,0,5.4765463,3.2204757,2.8711107,3.2656445503234863,3.495903491973877,7.91190242767334,12.838226
gdsc_metadata_plus_expression,UCHL1,continuous,0,6.6579986,3.2506864,2.865189,3.328695058822632,5.78371524810791,10.156020164489746,11.896323
gdsc_metadata_plus_expression,IFITM3,continuous,0,8.759527,3.212038,2.7654655,5.9083476066589355,10.146405220031738,11.336965560913086,13.084349
gdsc_metadata_plus_expression,MYOF,continuous,0,8.281032,3.2205138,2.7679527,4.371518135070801,9.863242149353027,10.959883689880371,12.430732
gdsc_metadata_plus_expression,SPOCK1,continuous,0,6.463678,3.1750364,2.4936888,3.3390774726867676,5.799398899078369,9.510563850402832,12.526538
gdsc_metadata_plus_expression,MAL2,continuous,0,6.216458,3.192089,2.7464142,3.1124043464660645,4.778302192687988,9.600006103515625,11.872786
gdsc_metadata_plus_expression,BASP1,continuous,0,7.831804,3.1905067,2.8830514,3.7071597576141357,9.124274253845215,10.635272979736328,12.744452
gdsc_metadata_plus_expression,CYR61,continuous,0,7.5226326,3.0814075,2.702559,3.8816261291503906,8.034464836120605,10.375504493713379,12.619583
gdsc_metadata_plus_expression,HLA-DRA,continuous,0,4.8624043,3.0950527,2.6679935,2.9395627975463867,3.082338571548462,5.764527797698975,12.417121
gdsc_metadata_plus_expression,DSP,continuous,0,6.966931,3.1099703,2.6630561,3.3143808841705322,7.995334625244141,9.815685272216797,12.003176
gdsc_metadata_plus_expression,SLPI,continuous,0,6.30107,3.1115327,3.007219,3.6031105518341064,4.644059658050537,9.246602058410645,13.424015
gdsc_metadata_plus_expression,GNG11,continuous,0,6.359838,3.1000402,2.72255,3.3925297260284424,5.416900157928467,9.492005348205566,12.359664
gdsc_metadata_plus_expression,MGST1,continuous,0,8.784002,3.0939405,3.2785552,5.3329267501831055,10.126422882080078,11.28943920135498,12.769692
gdsc_metadata_plus_expression,FN1,continuous,0,6.257328,3.0896957,2.8262255,3.327737808227539,5.192789554595947,9.212560653686523,12.74884
gdsc_metadata_plus_expression,PXDN,continuous,0,6.1732235,3.0698593,2.674981,3.1064398288726807,5.446447372436523,9.22237777709961,12.499319
gdsc_metadata_plus_expression,HSPA1A,continuous,0,8.691124,3.1325488,2.6388283,5.958408832550049,10.174039840698242,11.073148727416992,12.448633
gdsc_metadata_plus_expression,SPP1,continuous,0,4.9674263,3.0545425,2.7148376,2.950049638748169,3.13242244720459,6.43513822555542,12.808969
gdsc_metadata_plus_expression,LGALS1,continuous,0,9.624148,3.0360832,2.5923498,8.136061668395996,10.885725021362305,11.942412376403809,13.22664
gdsc_metadata_plus_expression,BST2,continuous,0,8.03491,3.0453525,2.893649,4.794798851013184,8.944389343261719,10.73373794555664,12.490956
gdsc_metadata_plus_expression,LGALS3,continuous,0,9.57959,3.0456502,2.8451538,8.02286148071289,10.887514114379883,11.832935333251953,13.234183
gdsc_metadata_plus_expression,ANXA1,continuous,0,8.665482,3.0538585,2.5972068,6.0971760749816895,10.15343189239502,11.013691902160645,12.818139
gdsc_metadata_plus_expression,NGFRAP1,continuous,0,10.454377,3.1016467,2.9100308,10.936077117919922,11.864027976989746,12.215288162231445,13.177865
gdsc_metadata_plus_expression,PRSS23,continuous,0,7.6615667,3.0250137,2.921672,4.091489315032959,8.469679832458496,10.354710578918457,12.781047
gdsc_metadata_plus_expression,IFI27,continuous,0,6.7642984,3.0128853,3.5987308,4.421015739440918,4.999249458312988,9.451911926269531,13.190659
gdsc_metadata_plus_expression,TPD52L1,continuous,0,7.9533663,3.0654564,2.7797291,4.68658971786499,8.922797203063965,10.629342079162598,13.06552
gdsc_metadata_plus_expression,ANXA3,continuous,0,6.166059,3.010619,2.2876463,2.9636030197143555,6.117022514343262,9.219161987304688,11.413874
gdsc_metadata_plus_expression,GDF15,continuous,0,7.4574733,3.0067484,3.067551,4.243329048156738,7.635049819946289,10.132701873779297,13.336289
gdsc_metadata_plus_expression,NUPR1,continuous,0,6.774688,3.0123117,2.8096366,3.78358793258667,6.324773788452148,9.639028549194336,12.821275
gdsc_metadata_plus_expression,KRT7,continuous,0,6.184671,3.02564,2.9099767,3.6053662300109863,4.629947185516357,9.231178283691406,12.218604
gdsc_metadata_plus_expression,S100A14,continuous,0,5.1868305,3.0273015,2.6668458,3.060966968536377,3.2352325916290283,8.106765747070312,11.952053
gdsc_metadata_plus_expression,LCN2,continuous,0,5.2782373,3.021221,2.8006532,3.284930944442749,3.5157830715179443,7.1088433265686035,13.279764
gdsc_metadata_plus_expression,S100A16,continuous,0,7.2738037,2.9829724,2.6725755,3.3849294185638428,8.645462989807129,9.825787544250488,12.205535
gdsc_metadata_plus_expression,MIR205HG,continuous,0,4.721046,2.9986105,2.765638,3.0219056606292725,3.151385545730591,4.724006175994873,12.900616
gdsc_metadata_plus_expression,EFEMP1,continuous,0,5.6723204,2.9247167,2.8157215,3.1755034923553467,3.8473145961761475,8.451889991760254,12.052191
gdsc_metadata_plus_expression,SPARC,continuous,0,5.7734385,2.9260395,2.9624994,3.27587890625,3.9825170040130615,8.580016136169434,12.170113
gdsc_metadata_plus_expression,AKR1C1,continuous,0,5.562789,2.9618988,2.745385,3.276109457015991,3.9512453079223633,7.51540994644165,12.958255
gdsc_metadata_plus_expression,UCA1,continuous,0,5.138785,2.9303076,2.7308278,3.2353968620300293,3.52091908454895,6.687924861907959,12.980491
gdsc_metadata_plus_expression,BEX4,continuous,0,6.132457,2.937597,2.5120544,3.205047607421875,5.621893882751465,8.970813751220703,12.076676
gdsc_metadata_plus_expression,HLA-DPA1,continuous,0,5.46118,2.8943453,3.1104028,3.5170533657073975,3.8241803646087646,6.423798084259033,12.828683
gdsc_metadata_plus_expression,TSPAN8,continuous,0,4.8245983,2.9310012,2.6874654,3.0516881942749023,3.2609729766845703,5.330151081085205,13.18995
gdsc_metadata_plus_expression,GYPC,continuous,0,5.3068275,2.858645,2.5348725,3.1003198623657227,3.382350206375122,8.048601150512695,11.771548
gdsc_metadata_plus_expression,LCP1,continuous,0,5.4455323,2.8674028,2.5579512,2.9939658641815186,3.890826463699341,8.256404876708984,11.562133
gdsc_metadata_plus_expression,ESRP1,continuous,0,5.674382,2.8799005,2.630388,3.012755870819092,3.7770042419433594,8.907513618469238,11.0138855
gdsc_metadata_plus_expression,IGFBP3,continuous,0,5.794554,2.8643024,2.6662824,3.2000744342803955,4.647515296936035,8.149463653564453,12.889054
gdsc_metadata_plus_expression,RAB25,continuous,0,5.129763,2.857971,2.6124697,3.0115973949432373,3.2106072902679443,8.657114028930664,11.148176
gdsc_metadata_plus_expression,CYBA,continuous,0,9.205462,2.8279285,2.9648163,8.274556159973145,10.406840324401855,11.229130744934082,12.632775
gdsc_metadata_plus_expression,TUBB2B,continuous,0,6.354617,2.7986288,3.0183342,3.915759563446045,5.200283050537109,8.748200416564941,12.777717
gdsc_metadata_plus_expression,CAV2,continuous,0,7.235851,2.8226752,2.8518527,3.7566239833831787,7.912180423736572,9.632877349853516,12.346352
gdsc_metadata_plus_expression,ALDH1A1,continuous,0,5.289077,2.805985,2.9638033,3.3702235221862793,3.6021382808685303,7.117223262786865,13.100795
gdsc_metadata_plus_expression,CLEC2B,continuous,0,6.2219677,2.7842557,2.7962382,3.44533109664917,5.719377517700195,8.829416275024414,12.876568
gdsc_metadata_plus_expression,TFPI,continuous,0,6.4380484,2.780911,3.0003917,3.532676935195923,6.194180965423584,8.97105884552002,12.2974205
gdsc_metadata_plus_expression,ARHGDIB,continuous,0,6.7207284,2.7761307,3.1749792,4.0915608406066895,6.022054672241211,9.270320892333984,12.346978
gdsc_metadata_plus_expression,TSPAN1,continuous,0,6.3242435,2.777591,3.1605825,4.001245975494385,4.825840473175049,9.01240062713623,12.290548
gdsc_metadata_plus_expression,LAPTM5,continuous,0,4.512297,2.7388606,2.6580224,2.937073230743408,3.093411922454834,4.300876140594482,12.014384
gdsc_metadata_plus_expression,GPX2,continuous,0,4.841357,2.7357283,2.798761,3.243891477584839,3.404573917388916,4.902920246124268,12.424223
gdsc_metadata_plus_expression,TMSB15A,continuous,0,5.517031,2.6979089,2.7472947,3.334453821182251,4.114070415496826,7.37627649307251,12.654022
gdsc_metadata_plus_expression,GMFG,continuous,0,4.5872474,2.7400935,2.538793,3.0218288898468018,3.2284817695617676,4.058406829833984,11.9259615
gdsc_metadata_plus_expression,CTGF,continuous,0,6.095945,2.6920097,2.638295,3.2786009311676025,5.949387550354004,8.330138206481934,12.199648
gdsc_metadata_plus_expression,AKR1C2,continuous,0,4.881468,2.7305493,2.3550014,2.934159278869629,3.314870595932007,6.554722309112549,11.924213
gdsc_metadata_plus_expression,CXCR4,continuous,0,4.840536,2.7073243,2.717965,2.9777729511260986,3.1749377250671387,6.436866760253906,12.184174
gdsc_metadata_plus_expression,VAMP8,continuous,0,8.438684,2.6768215,2.640202,5.605613708496094,9.73159122467041,10.489585876464844,12.085263
gdsc_metadata_plus_expression,SNAI2,continuous,0,6.3698397,2.6918092,3.0063758,3.721991777420044,5.856529712677002,9.034128189086914,12.12191
gdsc_metadata_plus_expression,S100A6,continuous,0,9.903928,2.704479,3.3821363,8.597920417785645,11.22918701171875,11.842327117919922,12.952368
gdsc_metadata_plus_expression,IFI16,continuous,0,7.7475467,2.6762714,2.8228004,5.445324897766113,8.755982398986816,9.872103691101074,11.996764
gdsc_metadata_plus_expression,IER3,continuous,0,8.261152,2.6714163,2.676644,6.190826892852783,9.173639297485352,10.413260459899902,12.650307
gdsc_metadata_plus_expression,TESC,continuous,0,5.3826656,2.6972864,2.604986,3.113931894302368,3.8670380115509033,7.6654744148254395,12.064633
gdsc_metadata_plus_expression,TIMP3,continuous,0,5.321513,2.6581352,2.8533897,3.160942792892456,3.6136062145233154,7.740817070007324,12.072064
gdsc_metadata_plus_expression,GAL,continuous,0,5.1723404,2.6915798,2.6276917,3.0971662998199463,3.509040117263794,7.382778167724609,12.907053
gdsc_metadata_plus_expression,AKR1C3,continuous,0,6.8944893,2.6758113,2.6355815,4.4897003173828125,6.499735355377197,9.062461853027344,12.208426
gdsc_metadata_plus_expression,SCG2,continuous,0,4.7232065,2.6237175,2.5238132,3.0179941654205322,3.2952911853790283,5.828950881958008,12.316519
gdsc_metadata_plus_expression,CD9,continuous,0,8.691916,2.6525314,2.8819702,7.606063365936279,9.660603523254395,10.675712585449219,12.297673
gdsc_metadata_plus_expression,S100A10,continuous,0,9.271075,2.6491551,2.652237,8.293275833129883,10.40359115600586,11.100753784179688,12.874092
gdsc_metadata_plus_expression,PRAME,continuous,0,5.021002,2.6119268,2.2460268,2.766307830810547,3.5973711013793945,7.333561897277832,11.274441
gdsc_metadata_plus_expression,IGFBP6,continuous,0,6.365747,2.6211424,2.79078,3.79545521736145,5.8862786293029785,8.818582534790039,12.515367
gdsc_metadata_plus_expression,CCL2,continuous,0,4.633594,2.5691233,2.6777241,3.0689899921417236,3.2376487255096436,5.513963222503662,12.527964
gdsc_metadata_plus_expression,SRPX,continuous,0,5.688903,2.5940194,2.8719506,3.663275957107544,4.251607894897461,7.485668182373047,12.272211
gdsc_metadata_plus_expression,GTSF1,continuous,0,4.5684733,2.6501703,2.7711747,3.1244614124298096,3.299696683883667,3.8029890060424805,11.925528
gdsc_metadata_plus_expression,C15orf48,continuous,0,4.9420733,2.606616,2.6658354,3.11763596534729,3.4254093170166016,6.533071517944336,12.103285
gdsc_metadata_plus_expression,IGFBP2,continuous,0,6.086517,2.60509,2.731874,3.495678186416626,5.853572368621826,8.34441089630127,12.3791485
gdsc_metadata_plus_expression,IL1A,continuous,0,4.903881,2.6069248,2.7197638,3.3265891075134277,3.5622446537017822,5.309590816497803,12.784801
gdsc_metadata_plus_expression,CNN3,continuous,0,8.771597,2.6331074,2.734502,8.069280624389648,9.752643585205078,10.59798812866211,12.279498
gdsc_metadata_plus_expression,CLDN4,continuous,0,5.97819,2.602516,3.195574,3.722001075744629,4.171178817749023,8.623645782470703,11.710767
gdsc_metadata_plus_expression,S100A4,continuous,0,7.8743815,2.5784168,3.4286845,5.732071876525879,7.70542573928833,9.938654899597168,13.062568
gdsc_metadata_plus_expression,NMU,continuous,0,5.3615494,2.5991933,2.2197406,2.8408801555633545,4.661923885345459,7.581304550170898,12.183296
gdsc_metadata_plus_expression,C3,continuous,0,5.004239,2.5899084,2.6048603,3.1742212772369385,3.517533779144287,6.6159749031066895,12.726256
gdsc_metadata_plus_expression,PLS3,continuous,0,8.56972,2.572998,2.6059403,8.178933143615723,9.525407791137695,10.277833938598633,11.783886
gdsc_metadata_plus_expression,IL8,continuous,0,5.567633,2.565111,2.9534857,3.416008949279785,4.350790500640869,7.4365105628967285,13.111497
gdsc_metadata_plus_expression,HTRA1,continuous,0,6.172321,2.5755954,2.8766284,3.5625393390655518,5.857227325439453,8.49491024017334,11.718501
gdsc_metadata_plus_expression,SERPINE2,continuous,0,6.7515073,2.5669632,2.8470104,4.242462635040283,6.821751117706299,8.676589965820312,12.977093
gdsc_metadata_plus_expression,RAB34,continuous,0,7.4133735,2.5856652,3.0250773,3.852839946746826,8.700987815856934,9.425897598266602,11.581612
gdsc_metadata_plus_expression,FGFBP1,continuous,0,4.5592413,2.5773046,2.616664,2.9434115886688232,3.099078416824341,5.767549514770508,12.633158
gdsc_metadata_plus_expression,BMP4,continuous,0,5.3118663,2.5892348,2.468794,3.1446404457092285,4.232038497924805,7.243771553039551,12.464497
gdsc_metadata_plus_expression,COL1A2,continuous,0,4.221168,2.528564,2.8237267,3.0520246028900146,3.157081365585327,3.371675729751587,12.861497
gdsc_metadata_plus_expression,IFITM2,continuous,0,7.6676464,2.5615222,3.0679097,5.169393539428711,8.308762550354004,9.885771751403809,11.992099
gdsc_metadata_plus_expression,ID1,continuous,0,8.876187,2.5497494,2.9253125,7.279312610626221,9.591849327087402,10.861327171325684,12.743726
gdsc_metadata_plus_expression,SULF2,continuous,0,5.4518437,2.5584075,2.5937912,3.0600199699401855,4.53407096862793,7.818370342254639,11.224803
gdsc_metadata_plus_expression,SFN,continuous,0,6.2977743,2.5525975,2.826461,3.8534698486328125,5.781954765319824,8.682964324951172,11.540188
gdsc_metadata_plus_expression,TUBB6,continuous,0,8.616958,2.5649738,2.9048843,7.44179105758667,9.555375099182129,10.46406364440918,12.6310425
gdsc_metadata_plus_expression,TSPYL5,continuous,0,4.659804,2.520779,2.393651,2.851472854614258,3.0073466300964355,7.160655975341797,11.750384
gdsc_metadata_plus_expression,S100A2,continuous,0,6.4921937,2.5250473,3.3737116,4.31633996963501,5.6825270652771,8.285634994506836,12.417259
gdsc_metadata_plus_expression,MAP1B,continuous,0,6.775429,2.5209002,3.2665405,3.942157506942749,6.98410177230835,9.090700149536133,11.930017
gdsc_metadata_plus_expression,CTHRC1,continuous,0,5.4786844,2.5192628,2.8251417,3.357562780380249,4.199232578277588,7.67659330368042,11.619744
gdsc_metadata_plus_expression,QPCT,continuous,0,4.613274,2.4718606,2.4504035,2.7318639755249023,3.144409656524658,6.291239261627197,11.709409
gdsc_metadata_plus_expression,AKR1B10P1,continuous,0,4.3891826,2.4983866,2.311429,2.8431754112243652,3.1137421131134033,4.999177932739258,13.115435
gdsc_metadata_plus_expression,PLOD2,continuous,0,7.5199823,2.5183156,2.7845438,6.156839847564697,8.169090270996094,9.338793754577637,11.849985
gdsc_metadata_plus_expression,QPRT,continuous,0,6.7874384,2.5094895,2.73691,3.9575045108795166,7.304999828338623,9.003600120544434,11.533306
gdsc_metadata_plus_expression,F3,continuous,0,6.007853,2.48767,3.1485727,3.7798311710357666,5.076272964477539,8.059673309326172,12.151003
gdsc_metadata_plus_expression,S100A11,continuous,0,8.967157,2.5023558,2.7256293,8.170523643493652,9.860597610473633,10.721421241760254,12.231286
gdsc_metadata_plus_expression,FHL2,continuous,0,7.5050125,2.4947746,2.7723536,5.622052192687988,8.28555965423584,9.49902629852295,12.343445
gdsc_metadata_plus_expression,PLBD1,continuous,0,5.740573,2.5382676,3.0520647,3.654953718185425,4.184162139892578,8.146839141845703,11.64406
gdsc_metadata_plus_expression,INHBB,continuous,0,4.601528,2.5188391,2.3908954,2.8390815258026123,3.0936622619628906,6.1366190910339355,11.569386
gdsc_metadata_plus_expression,PLEK2,continuous,0,5.6675453,2.5024457,2.7038789,3.262218475341797,5.144700527191162,8.149081230163574,10.953874
gdsc_metadata_plus_expression,NQO1,continuous,0,9.392392,2.5047903,3.101585,7.424126148223877,10.16943645477295,11.3406982421875,13.112763
gdsc_metadata_plus_expression,CPE,continuous,0,5.1819415,2.4787097,2.373757,2.990323543548584,4.3181023597717285,7.049821376800537,11.6495495
gdsc_metadata_plus_expression,PYGL,continuous,0,8.01758,2.4888427,2.7480743,5.993404865264893,8.90147876739502,9.964280128479004,12.078353
gdsc_metadata_plus_expression,CTSZ,continuous,0,7.832766,2.4708936,2.8880508,6.3862409591674805,8.660101890563965,9.721195220947266,12.12853
gdsc_metadata_plus_expression,AKAP12,continuous,0,6.2575555,2.4849057,2.649841,3.414262533187866,6.553093433380127,8.36821460723877,11.597515
gdsc_metadata_plus_expression,C3orf14,continuous,0,6.745677,2.477651,2.4869204,3.722612142562866,7.645150661468506,8.679760932922363,11.412612
gdsc_metadata_plus_expression,GALNT3,continuous,0,5.8624926,2.4980648,2.7230392,3.30195951461792,5.561673164367676,8.438241004943848,10.645208
gdsc_metadata_plus_expression,CSTA,continuous,0,5.302842,2.4787166,2.662965,3.59895396232605,4.014749526977539,6.4965739250183105,12.179151
gdsc_metadata_plus_expression,AKR1B10,continuous,0,4.5530214,2.4488044,2.6181138,3.061981678009033,3.381383180618286,4.9599809646606445,13.155026
gdsc_metadata_plus_expression,MX1,continuous,0,5.4982615,2.403727,2.4333856,3.505620002746582,4.696326732635498,7.028916358947754,12.550641
gdsc_metadata_plus_expression,S100A9,continuous,0,4.129478,2.4545963,2.460642,2.847057580947876,3.005828380584717,3.8082666397094727,13.223873
gdsc_metadata_plus_expression,HOXA9,continuous,0,4.694126,2.4472854,2.5178318,2.8965728282928467,3.2699837684631348,6.406075954437256,11.2902
gdsc_metadata_plus_expression,CD44,continuous,0,6.9596014,2.4425688,2.966538,4.338374614715576,7.589643955230713,8.978880882263184,11.863796
gdsc_metadata_plus_expression,C1S,continuous,0,5.0573173,2.414759,2.6529791,3.2353062629699707,3.7940874099731445,6.523399829864502,11.867421
gdsc_metadata_plus_expression,PLAU,continuous,0,5.6844616,2.435739,2.989199,3.483051061630249,4.652896404266357,7.82126522064209,11.612188
