Dataset,Dataset Mode,Target,Split,Feature Set,Model,RMSE,MAE,R2,Train Seconds,Predict Seconds,Max Rows,Target Clipping,Clip Low Quantile,Clip High Quantile,Clip Low Value,Clip High Value,Neural Network Backend,Source File
gdsc,gdsc_metadata_only,LN_IC50,random,metadata_only,Ridge,1.5735704920945313,1.184276015476548,0.6713927919976692,3.2587132453918457,0.3831899166107178,,none,,,,,,model_comparison_gdsc_random_metadata_only_dummy_mean-ridge.csv
gdsc,gdsc_metadata_only,LN_IC50,random,metadata_only,Linear,1.5735788432990807,1.1841922933010174,0.6713893040404325,2.5924878120422363,0.2417657375335693,,none,,,,,,model_comparison_gdsc_metadata_only_random_dummy_mean-linear-ridge.csv
gdsc,gdsc_metadata_only,LN_IC50,random,metadata_only,Dummy Mean,2.7450374642707653,2.0849669619470426,-2.8358432735409167e-06,1.2677836418151855,0.249094009399414,,none,,,,,,model_comparison_gdsc_random_metadata_only_dummy_mean.csv
gdsc,gdsc_metadata_plus_expression,LN_IC50,cell_line,metadata_plus_expression,Ridge,3.5008117931640896,2.7917006778408457,-0.6203307154418232,26.75431632995605,0.7909846305847168,,none,,,,,,model_comparison_gdsc_metadata_plus_expression_cell_line_linear-ridge.csv
gdsc,gdsc_metadata_plus_expression,LN_IC50,cell_line,metadata_plus_expression,Linear,3.846013947735191,3.0591525162662925,-0.9556352098066768,20.38662362098694,0.8148486614227295,,none,,,,,,model_comparison_gdsc_metadata_plus_expression_cell_line_linear-ridge.csv
gdsc,gdsc_metadata_plus_expression,LN_IC50,random,metadata_plus_expression,Ridge,1.467057781776928,1.100093292050531,0.7154193330892469,365.516499042511,0.9447300434112548,,none,,,,,,model_comparison_gdsc_random_metadata_plus_expression_ridge.csv
gdsc,gdsc_metadata_plus_expression,LN_IC50,random,metadata_plus_expression,Linear,1.4671068279183592,1.1000168909038035,0.715400304776765,23.830141067504883,0.8590421676635742,,none,,,,,,model_comparison_gdsc_metadata_plus_expression_random_dummy_mean-linear-ridge.csv
gdsc,gdsc_metadata_plus_expression,LN_IC50,random,metadata_plus_expression,Dummy Mean,2.750336279682299,2.091301441192627,-0.0001901388168334,13.33573055267334,0.6439125537872314,,none,,,,,,model_comparison_gdsc_metadata_plus_expression_random_dummy_mean-linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,cell_line,,Ridge,0.1871586551716646,0.1313258249330074,0.5670657467075642,6.016500234603882,0.7944889068603516,,none,,,,,,model_comparison_secondary_screen_auc_cell_line_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,cell_line,,Linear,0.1871654904118892,0.1313195514699598,0.567034123658587,6.73821496963501,0.7333667278289795,,none,,,,,,model_comparison_secondary_screen_auc_cell_line_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,cell_line,,Gradient Boosting,0.23918424697374,0.1829037613333138,0.2929221019093495,5.291096448898315,0.5674223899841309,,none,,,,,,model_comparison_secondary_screen_auc_cell_line_linear-ridge-gradient_boosting.csv
secondary_screen_auc,secondary_screen_auc,target_auc,drug,,Gradient Boosting,0.2586607675518896,0.1989697286085954,0.1608955822208448,5.395233631134033,0.7229759693145752,,none,,,,,,model_comparison_secondary_screen_auc_drug_linear-ridge-gradient_boosting.csv
secondary_screen_auc,secondary_screen_auc,target_auc,drug,,Ridge,0.2621470376007492,0.2021156284181577,0.1381239902847623,5.229273796081543,0.8785262107849121,,none,,,,,,model_comparison_secondary_screen_auc_drug_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,drug,,Linear,0.2621560707605095,0.2021238054984943,0.1380645915755656,6.724120378494263,0.9189419746398926,,none,,,,,,model_comparison_secondary_screen_auc_drug_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Linear,0.1811762739566532,0.1277075273582034,0.5902942909391995,7.253254413604736,0.8684654235839844,,none,,,,,,model_comparison_secondary_screen_auc_random_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Ridge,0.1811771715931472,0.1277182290249605,0.5902902311614012,6.938456296920776,0.7559459209442139,,none,,,,,,model_comparison_secondary_screen_auc_random_linear-ridge.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Neural Network,0.1987779452812779,0.1396524012088775,0.4973649382591247,26.872777938842773,,100000.0,none,,,,,sklearn MLPRegressor,neural_network_secondary_screen_auc_random.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Linear SVR,0.2227591145019174,0.1555611815768982,0.3687704106759568,110.23697018623352,0.1081619262695312,100000.0,none,,,,,,model_comparison_secondary_screen_auc_random_linear_svr_maxrows100000.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Gradient Boosting,0.2370664498068649,0.1820151605130082,0.2985292603780161,6.231346130371094,0.6731514930725098,,none,,,,,,model_comparison_secondary_screen_auc_random_dummy_mean-linear-ridge-gradient_boosting.csv
secondary_screen_auc,secondary_screen_auc,target_auc,random,,Dummy Mean,0.2830529966046829,0.2110277791109259,-1.1241588793842183e-05,4.458759546279907,0.7715160846710205,,none,,,,,,model_comparison_secondary_screen_auc_random_dummy_mean.csv
